"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen5_0001",460,10.2,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen5_0002",556,11.8,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen5_0003",470,10.4,1,1,0,1,1,1,1,1,1,1,1,0,1
"gen5_0004",495,10.3,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen5_0005",437,13.2,1,1,1,1,1,1,1,1,1,0,1,1,1
"gen5_0006",252,12.4,1,1,1,1,1,1,1,1,1,0,1,1,0
"gen5_0007",515,9.7,1,1,0,1,1,1,1,1,1,0,1,1,1
"gen5_0008",954,12.2,0,1,1,1,1,1,1,1,1,0,1,1,1
"gen5_0009",324,13.4,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen5_0010",237,10.9,1,1,1,1,1,1,1,1,1,0,1,1,1
"gen5_0011",309,12.5,1,1,1,1,1,0,1,1,1,0,1,0,1
"gen5_0012",272,12.8,1,1,0,1,1,1,1,1,1,0,1,1,1
"gen5_0013",516,8.9,0,1,1,1,1,1,1,1,1,0,1,0,1
"gen5_0014",551,13,1,1,0,1,1,1,1,1,0,0,1,1,1
"gen5_0015",573,10.3,1,1,1,1,1,1,1,1,0,1,1,1,0
"gen5_0016",236,12.6,1,1,1,1,1,0,1,1,1,0,1,0,1
"gen5_0017",317,13.3,1,1,0,1,1,1,1,1,1,0,1,1,1
"gen5_0018",279,12.9,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen5_0019",341,11.8,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen5_0020",487,12.8,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen5_0021",342,11.7,1,1,1,1,1,1,1,1,1,0,1,0,1
"gen5_0022",437,11.2,1,1,0,1,1,0,1,1,1,1,1,0,1
"gen5_0023",303,13,1,1,0,1,1,1,1,1,0,0,1,1,1
"gen5_0024",520,12.8,1,1,0,1,1,1,1,1,1,0,1,1,1
"gen5_0025",462,13.1,1,1,1,1,1,1,1,1,0,1,1,1,0
"gen5_0026",548,10.4,1,1,1,1,1,1,1,1,1,0,1,1,1
"gen5_0027",252,12.4,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen5_0028",324,13.4,1,1,1,1,1,1,1,1,1,0,1,1,0
"gen5_0029",883,12.3,1,1,1,1,1,0,1,1,1,0,1,1,1
"gen5_0030",307,12.5,0,1,1,1,1,1,1,1,1,0,1,0,1
"gen5_0031",457,13.8,0,1,1,1,1,1,1,1,1,0,1,1,1
"gen5_0032",383,8.5,1,1,1,1,1,1,1,1,1,0,0,0,1
"gen5_0033",286,12.5,1,1,1,1,1,0,1,1,1,0,1,0,1
"gen5_0034",259,12.6,1,1,1,1,1,0,1,1,1,0,1,0,1
"gen5_0035",557,10.3,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen5_0036",469,11.9,1,1,0,1,1,1,1,1,1,1,1,0,1
"gen5_0037",212,11.8,1,1,1,1,1,1,1,1,1,1,1,0,1
"gen5_0038",597,11.1,1,1,1,1,1,0,1,1,0,0,1,1,0
"gen5_0039",449,11.6,1,1,1,1,1,0,1,1,1,1,1,1,1
"gen5_0040",360,11.3,1,1,1,1,1,1,1,1,0,0,1,0,0
"gen5_0041",377,13,1,1,0,1,1,0,1,1,0,0,1,1,1
"gen5_0042",483,12.5,1,1,1,1,1,1,1,1,1,0,1,0,1
"gen5_0043",521,10.5,0,1,1,1,1,1,1,1,1,0,0,0,1
"gen5_0044",551,10.2,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen5_0045",453,10.6,0,1,1,1,1,1,1,1,1,0,1,1,1
"gen5_0046",500,11.5,1,1,1,1,1,1,1,1,1,0,1,0,1
"gen5_0047",524,12,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen5_0048",986,12,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen5_0049",448,12.4,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen5_0050",432,12.8,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen5_0051",236,12.6,1,1,1,1,1,1,1,1,1,0,1,1,0
"gen5_0052",252,12.4,1,1,1,1,1,0,1,1,1,0,1,0,1
"gen5_0053",999,12.4,0,1,1,1,1,1,1,1,1,0,1,1,1
"gen5_0054",262,12.3,1,1,1,1,1,0,1,1,1,0,1,0,1
"gen5_0055",290,11.8,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen5_0056",441,11.1,1,1,1,1,1,0,1,1,1,0,1,0,1
"gen5_0057",924,10.2,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen5_0058",490,12.2,0,1,1,1,1,1,1,1,1,0,1,1,1
"gen5_0059",279,12.4,1,1,1,1,1,0,1,1,1,0,1,0,1
"gen5_0060",282,12.5,1,1,1,1,1,1,1,1,1,0,1,1,0
"gen5_0061",434,9,0,1,1,1,1,1,1,1,1,0,1,1,0
"gen5_0062",334,12.3,1,1,1,1,1,1,1,1,1,0,1,0,1
"gen5_0063",538,12.6,1,1,0,1,1,1,1,1,0,0,1,1,0
"gen5_0064",265,12.8,1,1,1,1,1,1,1,1,1,0,1,1,1
