"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen18_0054",874,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0,0.055287778225809,0.0586547906630752,0.0606226325772233,11
"gen18_0029",762,11.4,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0552911538967276,0.05556280337281,0.0602608613529393,12
"gen18_0014",755,11.8,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553001461256871,0.0554827809800657,0.0602718213715951,11
"gen18_0032",625,11.5,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553184827749669,0.0493915362893939,0.060629495174743,11
"gen18_0044",809,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553211933201236,0.0527562072491485,0.0606089470209481,11
"gen18_0009",762,11.3,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0553345271523431,0.0554613414782327,0.0603208003707446,12
"gen18_0030",763,11.5,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0553476334625263,0.0576673066790881,0.0608719801161575,12
"gen18_0012",766,11.7,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553507720111939,0.0543914776367712,0.0607040319018197,11
"gen18_0024",797,11.6,1,1,0,1,1,1,1,1,1,1,1,1,0,0.055356286805928,0.0529547398222544,0.0604196015887798,11
"gen18_0020",738,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553749929585479,0.0513730061652889,0.0604868726441927,11
"gen18_0019",730,11.7,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0553961280466539,0.057510160616236,0.0605710879552122,12
"gen18_0017",781,11.7,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553999176963641,0.054264365784441,0.0611513885748606,11
"gen18_0051",743,11.7,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0554043492455189,0.0554184187439682,0.0605984047491642,11
"gen18_0015",929,11.3,1,1,1,1,1,1,1,1,1,1,1,1,0,0.055405913726701,0.0599774504653424,0.0601926819480073,12
"gen18_0031",751,11.7,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0554204049266133,0.0555074769045952,0.0601477163729088,11
"gen18_0064",799,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0554268398755849,0.0530628840113616,0.0607554919126043,11
"gen18_0004",764,11.7,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0554298440459773,0.0594803168467503,0.0605785195600423,12
"gen18_0003",763,11.6,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0554487974992739,0.0542330407438787,0.0606322330585069,11
"gen18_0062",759,11.8,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0554563004644221,0.0579202325816892,0.0602112475367894,12
"gen18_0049",757,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0554579771694962,0.0530561383871779,0.0609428723404973,11
"gen18_0016",737,11.7,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0554725840003577,0.0555249994398244,0.060432658687006,12
"gen18_0042",762,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0,0.055474179781465,0.049824062311866,0.0603764111478716,11
"gen18_0059",718,11.8,1,1,0,1,1,1,1,1,1,0,1,1,0,0.0554770637869539,0.0449987636132872,0.0604944728649782,10
"gen18_0053",817,11.3,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0554848519190051,0.0577234389600729,0.0608093342398431,12
"gen18_0052",762,11.7,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0554992110237659,0.0557044775701107,0.060487796082882,11
"gen18_0013",721,11.8,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0555018942454705,0.0548468165975491,0.0602452417053996,11
"gen18_0011",768,11.7,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0555086562368755,0.0543218558005537,0.0609972407732411,11
"gen18_0007",799,11.3,1,1,0,1,1,1,1,1,1,0,1,1,0,0.0555292210736228,0.0431290341096268,0.0603951691919987,10
