"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen21_0001",929,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0002",922,11.7,1,1,0,1,1,1,1,0,1,1,1,1,0
"gen21_0003",822,11.4,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0004",799,11.3,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen21_0005",762,11.6,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0006",798,11.8,1,1,0,1,1,1,0,1,1,1,1,1,0
"gen21_0007",813,11.7,1,0,0,1,1,1,1,1,1,1,1,1,0
"gen21_0008",766,11.3,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen21_0009",928,-19.1,1,1,0,1,1,0,1,1,1,1,0,1,0
"gen21_0010",801,11.3,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen21_0011",884,3.2,1,0,0,1,1,1,1,1,1,1,1,1,0
"gen21_0012",748,18.3,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen21_0013",764,11.5,1,1,1,1,0,1,1,1,1,1,1,1,0
"gen21_0014",892,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0015",881,11.4,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen21_0016",765,11.4,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0017",932,-19.7,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0018",878,2.4,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0019",776,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0020",788,11.4,1,0,1,1,1,1,1,1,1,1,0,1,0
"gen21_0021",803,11.3,0,1,0,1,1,1,1,1,1,1,1,0,0
"gen21_0022",851,11.6,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0023",762,11.1,0,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0024",808,9.7,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen21_0025",158,11.4,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0026",782,11.3,1,0,1,1,1,1,1,1,1,1,1,1,0
"gen21_0027",790,11.4,0,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0028",856,11.4,1,1,0,1,1,1,0,1,1,1,1,1,0
"gen21_0029",799,11.4,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0030",848,11.3,1,1,0,1,1,1,0,0,1,1,1,1,0
"gen21_0031",801,11.6,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0032",889,11.4,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0033",914,11.3,1,1,0,1,1,0,1,1,1,1,1,1,0
"gen21_0034",900,-6.4,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0035",878,9.7,1,1,0,1,0,1,1,1,1,1,1,1,0
"gen21_0036",928,11,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen21_0037",386,11.4,1,1,0,1,1,1,1,1,1,1,0,1,0
"gen21_0038",889,11.3,1,1,0,1,0,1,1,1,1,0,0,1,0
"gen21_0039",796,11.6,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen21_0040",767,11.3,1,1,0,1,1,1,1,1,1,0,1,1,1
"gen21_0041",807,11.4,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen21_0042",873,11.3,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen21_0043",763,11.6,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0044",816,11.4,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen21_0045",778,10.3,1,1,1,0,1,1,1,1,1,1,1,1,0
"gen21_0046",435,10.5,1,1,0,1,1,1,1,1,1,1,0,1,0
"gen21_0047",902,11.7,1,1,0,0,1,0,1,1,1,1,1,1,0
"gen21_0048",833,11.7,1,1,0,1,1,1,0,1,1,0,1,1,0
"gen21_0049",870,11.4,1,1,0,1,1,1,1,1,0,1,1,1,1
"gen21_0050",500,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0051",67,11.8,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0052",901,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0053",924,11.4,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0054",896,11.3,1,1,0,1,1,1,1,1,1,1,0,1,0
"gen21_0055",763,11.4,1,1,0,0,1,1,1,1,1,1,1,1,0
"gen21_0056",803,5.3,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen21_0057",824,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0058",870,11.4,0,1,0,1,1,1,1,0,1,1,1,1,0
"gen21_0059",801,9.6,1,1,0,1,1,1,1,1,0,0,1,1,0
"gen21_0060",769,11.2,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen21_0061",865,11.5,1,1,0,1,1,1,1,1,1,1,1,0,0
"gen21_0062",877,11.5,1,1,1,1,0,1,1,1,1,1,1,1,0
"gen21_0063",910,11.7,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0064",834,11.4,1,1,0,1,1,1,1,1,1,1,1,1,0
