"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen31_0001",878,11.1,1,1,1,1,1,1,1,1,0,1,1,1,0
"gen31_0002",848,11.2,1,0,1,1,1,1,1,1,1,1,1,1,0
"gen31_0003",891,11.3,1,1,0,1,1,0,1,1,1,1,1,0,0
"gen31_0004",884,11.4,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0005",866,11.3,1,1,0,1,1,1,1,1,0,1,1,1,0
"gen31_0006",866,21.4,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0007",844,11.3,1,1,0,1,0,1,1,1,1,1,1,1,0
"gen31_0008",867,11.2,1,0,0,1,1,1,1,1,1,1,1,1,0
"gen31_0009",860,11.2,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0010",850,11.2,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0011",866,8.4,1,1,1,1,1,1,1,1,1,1,1,0,0
"gen31_0012",879,11.2,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0013",844,11.2,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0014",864,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0015",868,10.2,1,1,0,1,1,1,1,1,1,0,1,1,0
"gen31_0016",845,11.2,1,1,0,1,1,1,0,0,1,1,0,1,0
"gen31_0017",873,11.2,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0018",873,11.2,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0019",75,11.1,1,0,0,1,1,1,1,1,1,1,1,1,0
"gen31_0020",870,11.3,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0021",872,11.3,0,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0022",873,11.2,1,1,0,1,1,1,1,1,1,1,1,0,0
"gen31_0023",840,11.2,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0024",895,11.3,1,1,0,1,1,1,1,1,1,0,1,1,0
"gen31_0025",866,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0026",864,11.3,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0027",850,11.2,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0028",863,11.3,1,0,0,1,1,1,1,1,1,1,1,1,0
"gen31_0029",845,11.2,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0030",859,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0031",867,11.3,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0032",695,11.2,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen31_0033",845,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0034",844,11.2,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0035",893,16.8,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0036",843,24.8,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0037",874,11.2,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0038",868,11.2,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0039",868,11.2,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0040",859,11.2,1,1,0,1,1,1,1,1,0,1,1,1,0
"gen31_0041",870,11.3,1,1,1,1,1,1,0,1,0,1,1,1,0
"gen31_0042",869,11.2,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0043",879,11.1,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0044",130,11.2,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0045",868,11.2,0,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0046",842,11.3,1,1,0,1,0,1,1,1,1,1,1,1,0
"gen31_0047",845,11.3,1,1,0,0,1,1,1,1,1,1,1,1,0
"gen31_0048",867,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0049",851,11.2,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0050",876,11.2,1,1,0,1,1,1,1,0,1,1,1,1,0
"gen31_0051",852,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0052",858,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0053",881,11.2,1,0,1,1,1,0,1,1,1,1,1,1,0
"gen31_0054",847,11.4,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0055",849,11.2,1,1,1,1,1,1,0,1,1,1,1,1,0
"gen31_0056",874,11.1,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen31_0057",868,2.6,1,0,1,1,1,1,1,1,1,1,1,1,0
"gen31_0058",314,11.3,1,1,0,1,1,1,1,1,1,0,1,1,0
"gen31_0059",867,11.3,1,1,0,1,1,1,1,1,0,1,1,1,0
"gen31_0060",866,11.2,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0061",867,11.2,1,1,1,1,0,1,1,1,1,1,1,1,0
"gen31_0062",866,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0063",862,11.2,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen31_0064",855,-11.1,1,1,1,0,1,1,1,1,1,0,1,1,0
