"Gen","Time","MinutesAll","MinutesThis","NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-01 22:31:02",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-02 00:05:33",94.5218138456345,94.5218138456345,"gen0_018",176,24.1,1,1,0,1,1,1,1,1,1,0,1,1,1,0.0572514902583393,0.0335398386493095,0.0607302102938737,11
1,"2014-12-02 01:08:16",157.249309090773,62.7326424241066,"gen1_0001",176,24.1,1,1,0,1,1,1,1,1,1,0,1,1,1,0.0571164775091413,0.0347835169587483,0.0604924342317107,11
2,"2014-12-02 01:57:00",205.971944129467,48.7386107961337,"gen2_0054",516,8.9,0,1,1,1,1,1,1,1,1,0,1,1,1,0.0563910687089339,0.0368695915814168,0.059605805597881,11
3,"2014-12-02 02:36:36",245.567364927133,39.6006982604663,"gen3_0030",495,10.3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0560175362258742,0.0532970670085727,0.0596022268494319,13
4,"2014-12-02 03:19:51",288.823030332724,43.2563636660576,"gen4_0018",460,10.2,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0557478093262362,0.0380148005315663,0.0594656691847511,11
5,"2014-12-02 04:21:35",350.556573990981,61.7399073243141,"gen5_0057",924,10.2,1,1,0,1,1,1,1,1,1,1,1,1,0,0.055278134224963,0.0469035510971277,0.0598845927766442,11
6,"2014-12-02 05:13:45",402.725407779217,52.1754077792168,"gen6_0064",699,11.1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0557057561647508,0.0559507907753636,0.0606688172593601,12
7,"2014-12-02 06:19:10",468.139210140705,65.4225434740384,"gen7_0022",551,12.6,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0554422941172069,0.0580903643205987,0.0613013693161035,12
8,"2014-12-02 07:14:22",523.340343614419,55.207010281086,"gen8_0027",490,11.1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0554691453019062,0.0476382994170558,0.0605631220088186,12
