"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1"
"gen10_0001",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0002",15,0,1,0,1,0,1,1,1,1,1,1,1,1
"gen10_0003",15,0,1,1,1,0,1,1,1,1,1,1,1,1
"gen10_0004",15,0,1,1,1,1,1,1,1,1,1,1,1,0
"gen10_0005",15,0,1,0,1,1,1,1,1,1,1,1,1,1
"gen10_0006",15,0,0,1,1,1,0,1,1,1,1,1,1,1
"gen10_0007",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0008",15,0,1,1,1,1,1,1,1,1,0,1,1,0
"gen10_0009",15,0,1,1,1,1,1,1,1,0,1,1,1,1
"gen10_0010",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0011",15,0,1,1,1,0,1,1,1,1,1,1,1,1
"gen10_0012",15,0,1,1,1,1,0,1,1,1,1,1,0,1
"gen10_0013",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0014",15,0,1,1,1,1,1,1,1,1,1,0,1,1
"gen10_0015",15,0,1,1,1,1,1,1,1,0,1,1,1,1
"gen10_0016",15,0,1,1,1,1,1,1,1,1,0,1,1,1
"gen10_0017",15,0,1,1,1,0,1,1,1,1,0,1,1,1
"gen10_0018",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0019",15,0,1,0,1,1,1,1,1,1,1,1,1,0
"gen10_0020",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0021",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0022",15,0,1,1,1,1,1,0,1,1,1,1,1,1
"gen10_0023",15,0,1,1,1,1,1,1,1,1,1,0,1,1
"gen10_0024",15,0,1,1,0,1,1,1,1,1,1,1,1,1
"gen10_0025",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0026",15,0,1,1,1,1,1,1,1,1,0,1,1,1
"gen10_0027",15,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0028",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0029",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0030",15,0,1,1,1,1,1,0,1,1,1,1,1,1
"gen10_0031",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0032",15,0,0,1,1,1,1,1,1,0,1,1,1,0
"gen10_0033",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0034",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0035",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0036",22,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0037",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0038",15,0,1,1,1,0,1,1,1,1,1,1,1,1
"gen10_0039",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0040",15,0,0,1,1,1,1,1,1,0,1,1,1,1
"gen10_0041",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0042",15,0,1,1,0,1,1,1,1,1,1,1,1,1
"gen10_0043",15,0,1,1,1,1,1,1,1,0,1,1,1,0
"gen10_0044",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0045",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0046",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0047",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0048",15,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0049",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0050",15,0,0,1,1,1,1,1,1,1,1,1,1,1
"gen10_0051",15,0,1,1,1,1,1,0,1,1,1,1,1,1
"gen10_0052",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0053",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0054",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0055",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0056",15,0,1,1,1,1,1,1,1,1,0,1,1,1
"gen10_0057",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0058",20,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0059",15,0,1,0,1,1,1,1,1,1,1,1,1,1
"gen10_0060",15,0,1,1,1,1,0,0,1,1,1,1,1,1
"gen10_0061",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0062",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0063",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen10_0064",20,0,1,1,1,1,1,1,1,1,1,1,1,1
