"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1"
"gen11_0001",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0002",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0003",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0004",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0005",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0006",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0007",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0008",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0009",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0010",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0011",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0012",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0013",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0014",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0015",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0016",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0017",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0018",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0019",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0020",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0021",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0022",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0023",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0024",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0025",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0026",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0027",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0028",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0029",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0030",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0031",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0032",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0033",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0034",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0035",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0036",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0037",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0038",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0039",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0040",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0041",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0042",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0043",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0044",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0045",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0046",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0047",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0048",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0049",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0050",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0051",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0052",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0053",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0054",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0055",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0056",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0057",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0058",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0059",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0060",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0061",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0062",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0063",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0064",15,0,1,1,1,1,1,1,1,1,1,1,1,1
