"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1"
"gen25_0001",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0002",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0003",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0004",15,0,1,1,1,0,1,1,1,1,1,1,1,1
"gen25_0005",15,1,0,1,1,1,1,1,1,1,1,1,1,1
"gen25_0006",15,0,1,0,1,1,1,1,1,1,1,1,1,1
"gen25_0007",15,0,1,1,1,1,1,1,1,1,1,0,0,1
"gen25_0008",15,0,0,1,1,1,1,1,1,1,1,1,1,1
"gen25_0009",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0010",15,0,1,1,1,1,1,1,0,1,1,1,1,1
"gen25_0011",15,0,1,1,1,1,1,1,1,1,1,1,0,0
"gen25_0012",15,0,1,1,1,1,1,0,1,1,1,1,1,1
"gen25_0013",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0014",15,0,1,1,1,1,0,1,1,1,1,0,1,1
"gen25_0015",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0016",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0017",15,0,1,1,1,1,1,0,0,1,1,1,1,1
"gen25_0018",15,0,1,1,1,1,1,1,0,1,1,1,1,1
"gen25_0019",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0020",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0021",21,0,1,1,1,1,1,0,1,1,1,1,1,1
"gen25_0022",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0023",15,0,1,1,1,1,1,1,1,1,1,1,0,1
"gen25_0024",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0025",15,0,1,1,1,1,1,1,0,1,1,1,1,1
"gen25_0026",15,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0027",21,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0028",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0029",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0030",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0031",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0032",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0033",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0034",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0035",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0036",15,0,1,1,1,1,1,1,1,1,0,1,1,1
"gen25_0037",15,0,1,1,1,1,1,0,1,1,1,1,1,1
"gen25_0038",15,0,1,1,1,1,1,1,1,0,1,1,1,1
"gen25_0039",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0040",15,0,1,1,1,1,1,1,1,1,1,1,0,1
"gen25_0041",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0042",15,0,0,1,1,1,1,1,1,1,1,1,1,1
"gen25_0043",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0044",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0045",15,0,0,1,1,1,1,1,0,1,1,1,1,1
"gen25_0046",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0047",15,0,0,1,1,1,1,1,1,0,1,1,1,1
"gen25_0048",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0049",15,0,1,1,0,1,1,1,1,1,1,1,1,1
"gen25_0050",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0051",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0052",15,0,1,1,1,0,1,1,1,1,0,1,1,1
"gen25_0053",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0054",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0055",15,0,1,1,1,1,1,0,1,1,1,1,1,1
"gen25_0056",15,0,1,1,1,1,1,1,0,1,1,1,1,1
"gen25_0057",15,0,1,1,0,0,1,1,1,1,1,1,1,1
"gen25_0058",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0059",19,0,1,1,1,1,0,1,1,1,1,1,1,1
"gen25_0060",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0061",15,0,1,1,1,1,1,1,0,1,1,1,1,1
"gen25_0062",11,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0063",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen25_0064",15,0,1,1,1,1,1,1,1,1,1,1,1,1
