"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen29_0001",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0422482515049425,0.0633206209667916,12
"gen29_0002",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0468176301092159,0.0633206209667916,12
"gen29_0009",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0437187525886762,0.0633206209667916,12
"gen29_0013",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0493549620473572,0.0633206209667916,12
"gen29_0017",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0523397802089846,0.0633206209667916,12
"gen29_0018",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0561312386008307,0.0633206209667916,12
"gen29_0022",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0524170837507709,0.0633206209667916,12
"gen29_0025",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0505886411394908,0.0633206209667916,12
"gen29_0028",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0450431913251277,0.0633206209667916,12
"gen29_0029",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0462694885885491,0.0633206209667916,12
"gen29_0030",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0455368825322617,0.0633206209667916,12
"gen29_0031",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0526548205496774,0.0633206209667916,12
"gen29_0037",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.052756383356104,0.0633206209667916,12
"gen29_0038",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.049601068304732,0.0633206209667916,12
"gen29_0040",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0524429702643711,0.0633206209667916,12
"gen29_0041",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0430694471248529,0.0633206209667916,12
"gen29_0045",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.050181400233551,0.0633206209667916,12
"gen29_0046",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0490472406383763,0.0633206209667916,12
"gen29_0048",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.053807559261269,0.0633206209667916,12
"gen29_0051",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0516730436521009,0.0633206209667916,12
"gen29_0053",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0511460936946617,0.0633206209667916,12
"gen29_0054",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0440260271694057,0.0633206209667916,12
"gen29_0055",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0569134931103959,0.0633206209667916,12
"gen29_0057",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0531749707674338,0.0633206209667916,12
"gen29_0058",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0477607598615225,0.0633206209667916,12
"gen29_0061",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0496779423925318,0.0633206209667916,12
"gen29_0063",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0488531559039333,0.0633206209667916,12
"gen29_0064",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0521470605647416,0.0633206209667916,12
"gen29_0026",15,1,1,1,1,1,1,1,1,1,1,1,1,1,0.059336921780012,0.0484742109885826,0.0625015809124899,13
"gen29_0019",9,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0595284552592768,0.0484325652860615,0.0623600980384779,12
"gen29_0021",15,0,1,1,1,1,1,1,1,1,1,1,1,0,0.0595471195182519,0.0489142876428405,0.0637603876349565,11
"gen29_0043",22,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0595513141400565,0.0438974481383377,0.0632052676349302,12
"gen29_0023",17,0,1,1,1,1,1,1,1,1,1,1,0,1,0.0595824750522675,0.0488416141360163,0.0628945036424754,11
"gen29_0049",15,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0596458012969947,0.0367414811028884,0.0628557812670613,12
"gen29_0005",15,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0597154471495012,0.0459518908848719,0.0636808107927796,10
"gen29_0003",15,0,1,1,0,1,1,1,1,1,1,1,1,1,0.0597484213764847,0.0446586394400649,0.0622323590740826,11
"gen29_0010",15,0,1,1,0,1,1,1,1,1,1,1,1,1,0.0597484213764847,0.0449195824989864,0.0622323590740826,11
"gen29_0011",15,0,1,1,1,1,0,1,1,1,1,1,1,1,0.0597620769775403,0.0390041043791156,0.063252665960125,11
"gen29_0016",15,0,1,1,1,1,0,1,1,1,1,1,1,1,0.0597620769775403,0.0395238713432869,0.063252665960125,11
"gen29_0032",15,0,1,1,1,1,0,1,1,1,1,1,1,1,0.0597620769775403,0.0444313754137972,0.063252665960125,11
"gen29_0035",12,0,1,1,1,1,1,1,1,1,1,1,1,1,0.059830461666927,0.0462669903601373,0.0628532644818973,12
"gen29_0027",15,0,1,0,1,1,1,1,1,1,1,1,1,1,0.0599266141235303,0.0457136714989155,0.0634464324948268,11
"gen29_0050",15,0,1,0,1,1,1,1,1,1,1,1,1,1,0.0599266141235303,0.0419396023185701,0.0634464324948268,11
"gen29_0014",15,0,1,1,1,0,1,1,1,1,1,1,1,1,0.0600337809467725,0.0406424804683382,0.0646638192712357,11
"gen29_0056",15,0,1,1,1,0,1,1,1,1,1,1,1,1,0.0600337809467725,0.0416513865690352,0.0646638192712357,11
"gen29_0033",15,0,1,0,1,1,0,1,1,1,1,1,1,1,0.0600475192249999,0.0365371756548525,0.0634669887034996,10
"gen29_0036",15,0,0,1,0,1,1,1,1,1,1,1,1,1,0.0601763022017881,0.0392670612642385,0.0625766502713487,10
"gen29_0020",15,0,1,1,1,1,1,1,1,0,1,1,1,1,0.0601912989094969,0.0409376732162656,0.0636578433525045,11
"gen29_0042",15,0,1,1,1,1,1,1,1,0,1,1,1,1,0.0601912989094969,0.0470868928135475,0.0636578433525045,11
"gen29_0039",7,0,1,1,1,0,1,1,1,1,1,1,1,1,0.0602247872978837,0.0404803169036625,0.0640244520632809,11
"gen29_0047",22,0,1,1,1,0,1,1,1,1,1,1,1,1,0.0602340380857789,0.0377375190734461,0.0647683847178435,11
"gen29_0006",15,0,1,1,1,1,1,1,1,1,0,1,1,1,0.0602344037569059,0.0356858449031704,0.0629883106203709,11
"gen29_0007",15,0,1,1,1,1,1,1,1,1,0,1,1,1,0.0602344037569059,0.0482712194764691,0.0629883106203709,11
"gen29_0044",15,0,1,1,1,1,1,1,1,1,0,1,1,1,0.0602344037569059,0.045390088588424,0.0629883106203709,11
"gen29_0024",15,0,1,1,1,1,1,1,1,0,0,1,1,1,0.0604265374632011,0.0398129188746329,0.0631368157550917,10
"gen29_0008",15,0,1,1,1,1,1,1,0,1,1,1,1,1,0.0606617917113149,0.0327208005435431,0.0622040513591775,11
"gen29_0012",15,0,1,1,1,1,1,1,0,1,1,1,1,1,0.0606617917113149,0.0276870248980268,0.0622040513591775,11
"gen29_0015",15,0,1,1,1,1,1,1,0,1,1,1,1,1,0.0606617917113149,0.0283339789001303,0.0622040513591775,11
"gen29_0062",15,0,1,1,1,1,0,1,0,1,1,1,1,1,0.061060924337228,0.0265575065376965,0.061961532448742,10
"gen29_0059",19,0,1,1,0,1,1,1,0,1,1,1,1,1,0.0616737830453731,0.0260314862137939,0.0619018155769816,10
"gen29_0060",20,0,1,1,1,1,1,0,1,1,1,1,1,1,0.10341164051595,0.0452966353482853,0.119081995323275,11
"gen29_0052",15,0,1,1,1,1,1,0,1,1,1,1,1,1,0.103453213404644,0.0287474689147204,0.118772300778133,11
"gen29_0004",15,0,0,1,1,1,1,0,1,1,1,1,1,1,0.103553938886883,0.041668252656693,0.122244411490674,10
"gen29_0034",15,0,1,1,1,1,1,0,1,1,0,1,1,1,0.104463204269067,0.0322558019057425,0.119359737012123,10
