Gen;Time;MinutesAll;MinutesThis;NAMES;M_par;TempMed;TempMax;TempMin;HR;Vel;R;Bo0d;DeltaT;DeltaT_menos1;DeltaT_mas1;M;M_menos1;M_mas1;Cost1;Size1;CostTest;NumFeatures
NA;12/1/14 18:02;NA;NA;---------;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0;12/1/14 18:07;4.630304408;4.630304408;gen0_018;6;1;1;1;0;1;1;1;1;1;1;0;1;1;0.060428148;0.046289627;0.060815728;11
1;12/1/14 18:12;9.658416752;5.041750085;gen1_0040;16;0;1;1;1;1;1;1;1;1;0;1;1;1;0.060316344;0.049318289;0.062891997;11
2;12/1/14 18:17;14.78440731;5.134407306;gen2_0060;15;1;1;1;1;1;1;1;1;1;1;0;0;1;0.059292704;0.043041498;0.062599818;11
3;12/1/14 18:22;20.11326779;5.329934458;gen3_0001;15;1;1;1;1;1;1;1;1;1;1;0;0;1;0.059292704;0.031269327;0.062599818;11
4;12/1/14 18:27;25.41919035;5.319190347;gen4_0002;16;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059318996;0.047189054;0.063064712;12
5;12/1/14 18:33;30.63454557;5.217878906;gen5_0031;15;0;1;1;1;1;1;1;1;1;1;0;1;1;0.059258676;0.046029056;0.063320621;11
6;12/1/14 18:38;35.7228468;5.089513469;gen6_0004;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.049671206;0.063320621;12
7;12/1/14 18:43;40.90830395;5.191637286;gen7_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.039828976;0.063320621;12
8;12/1/14 18:48;46.05589657;5.155896568;gen8_0002;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.052505646;0.063320621;12
9;12/1/14 18:53;51.23994786;5.189947859;gen9_0003;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.04107541;0.063320621;12
10;12/1/14 18:58;56.33666931;5.103335977;gen10_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.04958829;0.063320621;12
11;12/1/14 19:04;61.54553414;5.212200809;gen11_0002;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.045311521;0.063320621;12
12;12/1/14 19:09;66.65303396;5.119700627;gen12_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.055023048;0.063320621;12
13;12/1/14 19:14;71.80356539;5.153565391;gen13_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.049055892;0.063320621;12
14;12/1/14 19:19;77.03398632;5.233986318;gen14_0003;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.043311193;0.063320621;12
15;12/1/14 19:24;82.24229366;5.208960327;gen15_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.045623429;0.063320621;12
16;12/1/14 19:29;87.35239811;5.11906478;gen16_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.045838313;0.063320621;12
17;12/1/14 19:34;92.46408136;5.114081359;gen17_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.051585785;0.063320621;12
18;12/1/14 19:40;97.63053198;5.180531983;gen18_0003;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.048918463;0.063320621;12
19;12/1/14 19:45;102.8709554;5.254288777;gen19_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.053684357;0.063320621;12
20;12/1/14 19:50;108.0895998;5.22293309;gen20_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.043629653;0.063320621;12
21;12/1/14 19:55;113.3190856;5.235752277;gen21_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.04762192;0.063320621;12
22;12/1/14 20:01;118.5131492;5.196482519;gen22_0002;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.052442242;0.063320621;12
23;12/1/14 20:06;123.6160913;5.116091263;gen23_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.051185158;0.063320621;12
24;12/1/14 20:11;128.8326187;5.232618717;gen24_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.052111781;0.063320621;12
25;12/1/14 20:16;133.9810657;5.164399008;gen25_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.045958997;0.063320621;12
26;12/1/14 20:21;139.1465867;5.179920061;gen26_0002;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.052185428;0.063320621;12
27;12/1/14 20:26;144.3638319;5.23049854;gen27_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.038183121;0.063320621;12
28;12/1/14 20:31;149.4907381;5.14073811;gen28_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.053387299;0.063320621;12
29;12/1/14 20:37;154.6375673;5.154233925;gen29_0001;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.042248252;0.063320621;12
30;12/1/14 20:42;159.8071194;5.173786092;gen30_0003;15;0;1;1;1;1;1;1;1;1;1;1;1;1;0.059258676;0.048012996;0.063320621;12
