"NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen9_0063",25,0.259023,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0545877135893458,0.0562152099178833,0.0594193631019065,12
"gen9_0056",20,0.20821,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0546209802873409,0.0603422855406806,0.060645506787876,12
"gen9_0001",21,0.210503,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0546463960929678,0.062870778383639,0.0597829215929766,12
"gen9_0058",22,0.224797,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0546653579858488,0.0564520343811753,0.0615675354548128,12
"gen9_0017",16,0.271089,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0547283835846949,0.0465710251966606,0.0594050316960274,12
"gen9_0055",21,0.274515,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0547666829759337,0.0551770036927152,0.0595567106329543,12
"gen9_0031",19,0.229435,1,0,1,1,1,1,1,1,1,1,1,1,0,0.054872655717812,0.0527586013316707,0.0609712402385173,11
"gen9_0004",19,0.191306,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0548835566492199,0.0665143307044318,0.060367900572066,13
"gen9_0021",19,0.229919,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0548898672255672,0.0559390931736729,0.059734868574662,12
"gen9_0060",19,0.284319,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0549185369644666,0.0494258762351537,0.0597138476541484,12
"gen9_0016",17,0.128841,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0549186738328151,0.058657570905616,0.0609010966191225,11
"gen9_0006",19,0.230831,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0549369466555735,0.0591960737069214,0.0606659459868573,12
"gen9_0048",24,0.230995,1,0,1,1,1,1,1,1,1,1,0,1,1,0.0549425835645131,0.056752117392296,0.0604334410435424,11
"gen9_0036",20,0.249372,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0549428010207707,0.0556768855055975,0.0599307905239533,12
"gen9_0042",20,0.235392,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0549428159476594,0.0554961937939535,0.0603560361349446,11
"gen9_0007",19,0.232811,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0549532709177703,0.0497007092744956,0.0594427986750309,11
"gen9_0046",19,0.257789,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0549580034711105,0.0521998942339722,0.0595774841385348,12
"gen9_0010",22,0.269308,1,1,1,1,1,1,1,1,1,1,0,1,0,0.0549819078106865,0.0432738316576076,0.0604627548558227,11
"gen9_0011",20,0.226529,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0549906980565115,0.0644379479206103,0.0602737121699578,12
