"NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen17_0001",26,0.226016,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0002",25,0.228395,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0003",25,0.218529,1,1,1,1,1,1,1,1,0,1,0,1,1
"gen17_0004",26,0.207864,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0005",25,0.226678,1,1,1,1,1,1,1,1,0,1,0,1,1
"gen17_0006",21,0.226686,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen17_0007",22,0.239515,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen17_0008",21,0.226867,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0009",25,0.207003,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0010",23,0.239568,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen17_0011",23,0.231159,1,1,0,1,1,1,1,1,1,0,0,1,1
"gen17_0012",23,0.264266,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0013",26,0.226973,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0014",21,0.260892,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0015",23,0.228681,1,1,0,1,0,1,1,1,0,1,0,1,1
"gen17_0016",23,0.268718,1,1,1,1,0,1,1,1,1,0,0,0,1
"gen17_0017",24,0.963056,0,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0018",24,0.424724,1,1,0,1,1,1,1,1,1,0,0,1,1
"gen17_0019",24,0.226588,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen17_0020",24,0.238943,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0021",24,0.231151,1,1,1,1,1,1,1,1,1,1,0,1,0
"gen17_0022",24,0.226686,1,1,0,1,1,1,1,1,1,0,0,1,1
"gen17_0023",25,0.207638,1,0,1,1,1,1,1,1,1,1,0,1,1
"gen17_0024",26,0.207229,1,1,1,0,1,1,1,1,1,1,0,1,1
"gen17_0025",24,0.208968,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0026",24,0.237603,0,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0027",2,0.257983,1,1,1,1,1,1,0,1,1,1,0,1,1
"gen17_0028",23,0.233256,1,1,1,1,1,1,1,1,1,0,1,1,1
"gen17_0029",21,0.230711,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen17_0030",22,0.23549,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen17_0031",26,0.212511,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0032",26,0.221369,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0033",21,0.254642,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0034",11,0.232936,1,0,1,1,0,1,1,1,1,0,0,1,1
"gen17_0035",19,0.22474,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen17_0036",24,0.258055,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0037",23,0.229393,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen17_0038",23,0.238856,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0039",22,0.22728,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0040",22,0.230746,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen17_0041",23,0.231386,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen17_0042",23,0.228454,1,0,0,1,1,1,1,1,1,1,0,1,1
"gen17_0043",23,0.235414,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0044",26,0.23017,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0045",23,0.226538,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen17_0046",21,0.228829,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen17_0047",25,0.840686,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen17_0048",22,0.098913,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0049",21,0.228997,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0050",23,0.263054,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0051",28,0.227834,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0052",25,0.21909,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0053",26,0.206439,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0054",26,0.165159,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen17_0055",21,0.230471,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen17_0056",23,0.227374,1,1,1,1,1,1,1,0,1,1,0,1,1
"gen17_0057",22,0.227451,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen17_0058",22,0.230575,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0059",24,0.238944,1,1,1,1,1,1,1,1,1,0,0,0,1
"gen17_0060",25,0.227597,1,1,1,1,1,1,0,1,1,1,0,1,1
"gen17_0061",23,0.253489,1,1,0,1,1,1,0,1,1,1,0,1,1
"gen17_0062",21,0.238562,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0063",21,0.23441,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen17_0064",23,0.623216,1,0,1,1,1,1,1,1,1,1,0,0,1
