"NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen21_0001",25,0.220057,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0002",26,0.231492,1,1,1,1,1,1,1,0,1,1,0,1,1
"gen21_0003",25,0.230423,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen21_0004",25,0.221569,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0005",27,0.226128,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0006",26,0.230309,1,1,1,1,1,1,0,1,1,1,0,1,1
"gen21_0007",26,0.225735,1,0,1,1,1,1,1,1,1,1,0,1,1
"gen21_0008",25,0.222345,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0009",26,0.100714,1,1,1,1,1,0,1,1,1,1,0,1,1
"gen21_0010",25,0.219972,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0011",28,0.555971,1,0,0,1,1,1,1,1,1,1,0,1,1
"gen21_0012",26,0.863813,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0013",25,0.21909,1,1,1,1,0,1,1,1,1,1,0,1,1
"gen21_0014",26,0.219694,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0015",25,0.234283,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen21_0016",25,0.226277,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0017",25,0.086747,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0018",25,0.539569,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen21_0019",25,0.221788,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen21_0020",25,0.226058,1,0,1,1,1,1,1,1,1,1,0,1,1
"gen21_0021",27,0.220582,0,1,1,1,1,1,1,1,1,1,0,0,1
"gen21_0022",26,0.22524,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0023",26,0.229299,0,1,1,1,1,1,1,1,1,1,0,1,0
"gen21_0024",25,0.224923,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen21_0025",6,0.224836,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0026",25,0.22301,1,0,1,1,1,1,1,1,1,1,0,1,1
"gen21_0027",25,0.230093,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen21_0028",25,0.230467,1,1,1,1,1,1,0,1,1,1,0,1,0
"gen21_0029",25,0.229997,1,1,1,1,1,1,1,1,1,1,0,1,0
"gen21_0030",25,0.226631,1,1,1,1,1,1,0,0,1,1,1,1,1
"gen21_0031",27,0.226622,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0032",26,0.229668,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0033",26,0.220857,1,1,1,1,1,0,1,1,1,1,1,1,1
"gen21_0034",26,0.358349,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen21_0035",26,0.223181,1,1,1,1,0,1,1,1,1,1,1,1,1
"gen21_0036",25,0.220675,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0037",12,0.228729,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0038",25,0.221751,1,1,1,1,0,1,1,1,1,0,0,1,0
"gen21_0039",25,0.226552,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0040",27,0.219548,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen21_0041",25,0.231905,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen21_0042",25,0.223947,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0043",25,0.225079,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0044",26,0.223001,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0045",26,0.226737,1,1,1,0,1,1,1,1,1,1,0,1,1
"gen21_0046",14,0.227224,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0047",26,0.230849,1,1,1,0,1,0,1,1,1,1,0,1,1
"gen21_0048",26,0.226378,1,1,1,1,1,1,0,1,1,0,0,1,1
"gen21_0049",27,0.230279,1,1,1,1,1,1,1,1,0,1,0,1,1
"gen21_0050",15,0.228387,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen21_0051",3,0.231057,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0052",26,0.218946,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0053",26,0.230341,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0054",26,0.219515,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen21_0055",25,0.225516,1,1,1,0,1,1,1,1,1,1,0,1,1
"gen21_0056",25,0.598891,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0057",25,0.225745,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0058",26,0.226762,0,1,1,1,1,1,1,0,1,1,0,1,1
"gen21_0059",25,0.224339,1,1,1,1,1,1,1,1,0,0,1,1,0
"gen21_0060",26,0.229883,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen21_0061",26,0.222818,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen21_0062",25,0.222974,1,1,1,1,0,1,1,1,1,1,0,1,0
"gen21_0063",26,0.231593,1,1,1,1,1,1,1,1,1,1,0,1,0
"gen21_0064",25,0.230322,1,1,1,1,1,1,1,1,1,1,1,1,1
