"NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen28_0001",26,0.226944,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0002",25,0.222177,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0003",25,0.223644,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0004",26,0.228045,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0005",25,0.223358,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0006",25,0.223464,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0007",26,0.2266,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0008",25,0.22334,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0009",21,0.221199,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0010",25,0.221545,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0011",25,0.223744,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0012",25,0.22383,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0013",25,0.223602,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0014",25,0.224644,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0015",26,0.22574,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0016",25,0.223205,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen28_0017",25,0.223715,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0018",25,0.223493,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0019",25,0.223629,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0020",25,0.223355,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0021",26,0.227533,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0022",26,0.226252,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0023",25,0.22336,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen28_0024",25,0.223203,1,1,1,1,1,1,1,1,1,1,0,1,0
"gen28_0025",25,0.227994,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0026",26,0.223653,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0027",25,0.222416,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0028",25,0.222873,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0029",26,0.228147,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0030",26,0.226498,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0031",26,0.223412,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0032",25,0.225709,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0033",26,0.224366,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0034",25,0.225856,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0035",23,0.222592,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0036",23,0.223251,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0037",25,0.225625,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0038",26,0.224577,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0039",25,0.224942,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0040",26,0.224628,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0041",26,0.221449,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0042",25,0.228141,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0043",25,0.223192,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0044",25,0.223371,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen28_0045",25,0.222476,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0046",25,0.222899,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0047",25,0.223604,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0048",25,0.223504,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0049",25,0.225068,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0050",26,0.223077,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0051",25,0.223407,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0052",25,0.223553,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0053",26,0.224523,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0054",25,0.225907,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0055",25,0.223488,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0056",25,0.22372,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0057",26,0.223607,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0058",25,0.225597,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0059",25,0.223738,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0060",25,0.223556,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0061",25,0.221831,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0062",25,0.223054,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0063",25,0.223873,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen28_0064",26,0.226085,1,1,1,1,1,1,1,1,1,1,0,1,1
