"Gen","Time","MinutesAll","MinutesThis","NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-05 09:30:18",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-05 10:39:14",68.9444641192754,68.9444641192754,"gen0_023",27,0.184623,1,1,0,1,1,1,1,1,0,1,1,0,1,0.0563661114872088,0.0544094961860398,0.059829003063396,10
1,"2014-12-05 11:27:31",117.219573895137,48.2862405618032,"gen1_0037",20,0.394663,0,0,1,1,1,1,1,1,1,0,1,1,0,0.0559160766426942,0.0266452451747947,0.0608174451955541,9
2,"2014-12-05 12:19:41",169.397474058469,52.1808073918025,"gen2_0046",15,0.485206,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0554752727911409,0.0317814003366943,0.0599133344979422,12
3,"2014-12-05 13:22:19",232.032898688316,62.649565354983,"gen3_0057",22,0.23146,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0550735832006351,0.0547529414769292,0.0596234181883875,11
4,"2014-12-05 14:30:37",300.325932880243,68.309266213576,"gen4_0033",22,0.233952,1,1,1,1,1,1,1,1,1,1,0,1,0,0.0547508353529604,0.0532148723376873,0.0599812670625756,11
5,"2014-12-05 15:47:29",377.186472348372,76.8698056817055,"gen5_0047",25,0.323064,1,1,1,1,1,1,1,1,1,1,0,1,1,0.054840549923053,0.0443477107612071,0.0594445999924874,12
6,"2014-12-05 17:19:36",469.308154666424,92.1248213330905,"gen6_0022",20,0.265668,1,1,0,1,1,1,1,1,1,1,1,1,0,0.054704628423238,0.0504060085789774,0.060944444781868,11
7,"2014-12-05 19:07:28",577.18013771375,107.88013771375,"gen7_0012",21,0.210691,1,1,1,1,1,1,1,1,1,1,0,1,1,0.054626187139911,0.057656859432021,0.0597398400415658,12
8,"2014-12-05 20:51:42",681.403227170308,104.236560503642,"gen8_0064",21,0.210503,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0546463960929678,0.0611297991140901,0.0597829215929766,12
9,"2014-12-05 22:52:15",801.963659330209,120.563659330209,"gen9_0063",25,0.259023,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0545877135893458,0.0562152099178833,0.0594193631019065,12
10,"2014-12-06 00:56:43",926.426088448365,124.476088448366,"gen10_0039",21,0.213666,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0544012360693166,0.0558756177297514,0.0595510457697164,12
