"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen0_001",1.369279,0.597731,0.959896,0,1,1,1,0,0,1,1,0,1,0,1,1
"gen0_002",-3.561605,0.057803,0.434746,1,1,0,0,1,0,1,1,0,0,0,0,0
"gen0_003",1.279622,0.296745,0.724054,1,1,1,1,0,1,0,1,1,0,1,0,0
"gen0_004",-3.329292,0.475278,0.126548,0,1,0,1,0,1,1,1,0,1,1,0,0
"gen0_005",-1.971909,0.516521,0.770771,1,0,0,0,1,1,1,1,1,1,1,0,1
"gen0_006",0.032452,0.210197,0.541471,0,1,1,0,0,1,0,1,1,0,0,0,1
"gen0_007",-0.644564,0.462663,0.874967,1,0,1,1,0,0,0,0,0,0,0,0,0
"gen0_008",0.760012,0.06406,0.459567,1,0,1,1,0,0,0,1,1,0,1,1,0
"gen0_009",-3.644619,0.940667,0.200982,1,1,1,0,0,1,1,0,0,0,0,0,1
"gen0_010",0.486207,0.081777,0.224979,1,1,0,0,1,0,1,1,0,1,1,1,1
"gen0_011",-2.278861,0.158396,0.583016,1,0,0,0,0,0,0,1,1,0,0,1,1
"gen0_012",-2.086137,0.275775,0.021132,0,1,0,0,0,1,1,1,1,0,1,0,0
"gen0_013",0.194438,0.866215,0.440991,0,0,1,0,0,0,0,0,1,1,0,0,1
"gen0_014",-1.049122,0.396775,0.316102,1,0,0,0,0,1,1,0,1,0,0,0,0
"gen0_015",-1.422336,0.78312,0.576134,1,1,1,1,0,0,0,0,0,1,0,0,0
"gen0_016",-3.752511,0.034725,0.781978,0,0,0,0,1,0,1,0,0,0,0,1,0
"gen0_017",0.259071,0.72829,0.421378,0,1,1,1,1,1,0,1,0,0,1,0,1
"gen0_018",-3.030971,0.972193,0.919624,1,0,1,1,1,1,1,1,0,1,1,1,0
"gen0_019",0.115639,0.333369,0.486125,0,0,1,0,1,0,1,0,0,1,1,0,1
"gen0_020",-2.309476,0.407073,0.239972,0,1,0,1,0,1,0,0,1,1,1,0,1
"gen0_021",-1.750541,0.77847,0.622447,1,1,1,1,0,1,0,0,0,1,1,1,0
"gen0_022",-3.143945,0.126629,0.013366,1,1,0,0,1,1,1,0,1,1,1,1,1
"gen0_023",0.974805,0.181932,0.855233,1,1,1,1,1,1,1,0,1,1,0,1,1
"gen0_024",-2.583539,0.018303,0.834774,0,0,0,1,0,1,0,1,0,1,0,0,1
"gen0_025",-3.136258,0.344265,0.075423,1,0,1,1,1,0,0,1,0,0,1,0,1
"gen0_026",1.10768,0.50188,0.933044,0,0,1,0,0,1,1,0,1,1,1,0,1
"gen0_027",-3.956943,0.636128,0.667565,0,0,0,0,1,1,0,0,1,0,1,0,0
"gen0_028",0.876276,0.675539,0.21281,0,1,0,0,1,1,0,0,1,1,0,0,0
