"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen3_0001",-0.258813,0.382709,0.066714,0,1,1,1,1,0,1,0,1,0,0,0,0
"gen3_0002",-0.020069,0.640893,0.20727,0,1,0,0,1,0,1,1,1,0,1,0,1
"gen3_0003",0.196689,0.223399,0.185888,0,0,1,1,1,0,1,1,0,0,1,0,0
"gen3_0004",-0.151431,0.394903,0.122674,0,0,1,1,1,0,1,1,1,1,1,1,0
"gen3_0005",0.486207,0.081777,0.224979,1,1,0,0,1,0,1,1,0,0,1,1,1
"gen3_0006",0.059321,0.321481,0.167543,1,1,1,1,1,0,1,0,0,0,0,1,0
"gen3_0007",0.246082,0.425035,0.194593,1,1,1,1,1,0,1,1,1,0,1,0,0
"gen3_0008",-0.453047,0.425609,0.116709,1,1,1,1,0,0,1,1,1,0,0,1,0
"gen3_0009",0.495555,0.713421,0.243295,1,1,0,0,1,0,1,1,0,1,1,1,1
"gen3_0010",0.351907,0.152897,0.249469,1,1,1,1,1,0,1,1,0,1,1,1,1
"gen3_0011",1.111259,0.209774,0.212606,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen3_0012",0.339731,0.51095,0.218215,1,1,0,0,1,0,1,1,0,0,1,0,0
"gen3_0013",-0.077797,0.899685,0.103369,0,0,1,1,1,0,1,1,0,1,0,1,0
"gen3_0014",-0.742462,0.322548,0.077079,0,1,0,0,0,1,1,1,0,1,1,1,0
"gen3_0015",-1.146519,0.306347,0.03589,0,1,0,0,1,1,1,1,0,0,0,0,0
"gen3_0016",0.169649,0.3605,0.22448,0,0,0,1,1,1,1,1,0,0,0,0,0
"gen3_0017",0.039652,0.377945,0.095768,0,0,1,1,1,0,1,1,1,0,1,1,0
"gen3_0018",-0.021434,0.377458,0.165344,0,0,1,1,1,1,1,1,0,1,0,0,0
"gen3_0019",-0.278255,0.588469,0.112876,1,1,1,1,1,0,1,1,0,1,0,1,0
"gen3_0020",-0.252589,0.436729,0.107202,1,0,1,1,0,1,1,1,1,0,0,1,0
"gen3_0021",-0.274923,0.294146,0.125992,1,1,1,1,0,0,1,1,0,0,0,1,1
"gen3_0022",0.173783,0.28436,0.240186,1,0,1,1,1,0,1,1,1,1,1,1,0
"gen3_0023",-0.557028,0.302044,0.225706,0,0,0,0,1,1,1,1,0,0,0,0,0
"gen3_0024",-0.023538,0.104148,0.206044,0,1,0,1,1,0,1,1,1,0,1,0,1
"gen3_0025",-0.722407,0.349255,0.076744,1,1,0,1,1,1,1,1,0,0,0,0,0
"gen3_0026",-0.254463,0.317592,0.183626,0,0,0,0,1,1,1,1,0,0,0,0,0
"gen3_0027",0.195848,0.483815,0.187515,1,1,1,1,1,0,1,1,1,0,1,1,0
"gen3_0028",-0.007548,0.422038,0.889869,0,0,0,0,1,0,1,1,1,1,1,0,0
"gen3_0029",0.338985,0.535387,0.205383,1,1,0,1,1,0,1,1,0,0,1,1,0
"gen3_0030",0.197435,0.198962,0.19872,1,0,0,0,1,0,1,1,0,0,1,0,0
"gen3_0031",-0.58362,0.304859,0.721158,0,1,0,0,1,0,1,1,0,1,0,0,0
"gen3_0032",0.372114,0.396391,0.066783,1,0,1,1,1,1,1,1,1,0,1,1,1
"gen3_0033",-0.255653,0.458287,0.113222,0,0,1,1,0,0,1,1,0,1,0,1,0
"gen3_0034",-0.275191,0.566911,0.106856,1,1,1,1,1,0,1,1,1,0,0,1,0
"gen3_0035",-0.034853,0.300907,0.089055,1,1,1,1,1,1,0,1,0,0,1,1,0
"gen3_0036",-0.914977,0.228839,0.132723,0,0,0,0,1,0,1,1,0,0,1,0,0
"gen3_0037",-0.283729,0.321964,0.152222,1,1,1,0,1,1,1,0,0,0,1,1,0
"gen3_0038",-0.399412,0.322065,0.0924,0,1,1,1,0,0,1,0,1,1,0,1,0
"gen3_0039",0.345706,0.29725,0.128472,0,0,1,1,0,1,1,1,1,1,1,1,0
"gen3_0040",-1.214565,0.240391,0.206808,1,1,1,1,1,0,1,1,0,1,0,0,0
"gen3_0041",-0.445204,0.44409,0.183511,1,1,0,0,0,1,1,1,1,1,0,1,0
"gen3_0042",-0.027912,0.027211,0.140468,0,1,1,1,1,0,1,1,1,1,1,0,1
"gen3_0043",0.238515,0.352425,0.221431,1,0,0,1,1,1,1,1,0,0,1,1,1
"gen3_0044",0.270865,0.519025,0.221264,0,1,0,0,0,0,1,1,0,0,0,0,0
"gen3_0045",0.404001,0.271831,0.216155,1,1,0,0,1,0,1,1,0,1,1,1,0
"gen3_0046",0.431285,0.319012,0.377405,1,0,0,0,1,0,1,1,0,0,1,0,1
"gen3_0047",-0.471603,0.327448,0.143539,0,0,0,0,0,1,1,1,0,0,0,1,1
"gen3_0048",-0.10121,0.3556,0.15802,0,1,0,0,1,1,1,1,0,1,1,0,1
"gen3_0049",0.248533,0.501056,0.196835,0,1,0,1,1,0,1,1,0,0,1,1,0
"gen3_0050",0.287887,0.233293,0.011431,1,1,0,0,1,0,1,1,0,0,1,1,0
"gen3_0051",0.081351,0.231486,0.185522,0,0,0,0,1,0,1,1,1,0,1,1,0
"gen3_0052",0.095269,0.037605,0.207636,0,1,1,1,1,1,1,1,0,1,1,0,1
"gen3_0053",-0.841215,0.313235,0.046141,1,1,0,0,0,1,1,1,0,1,0,1,0
"gen3_0054",-1.047766,0.31566,0.066828,0,0,0,0,1,1,1,1,0,0,1,0,0
"gen3_0055",0.228919,0.318056,0.180834,1,1,0,1,1,0,1,1,0,0,1,1,1
"gen3_0056",-0.195759,0.18933,0.160854,1,1,1,0,1,1,1,0,1,0,0,1,0
"gen3_0057",-0.746934,0.435346,0.088642,1,1,1,0,0,1,1,1,1,1,1,1,0
"gen3_0058",-0.448575,0.312811,0.105146,0,1,0,1,0,0,1,1,1,0,0,1,0
"gen3_0059",-3.094972,0.376361,0.176452,0,0,0,1,1,1,1,0,0,0,0,1,0
"gen3_0060",0.161231,0.366848,0.721905,0,0,1,1,1,0,1,0,1,0,0,0,0
"gen3_0061",-0.010438,0.391912,0.227641,0,0,1,1,1,1,1,1,1,1,0,0,0
"gen3_0062",0.028656,0.363491,0.119513,0,0,0,0,1,1,1,1,0,0,1,1,0
"gen3_0063",-0.032427,0.472168,0.215837,1,1,0,0,1,1,1,1,0,0,0,0,1
"gen3_0064",0.352089,0.084474,0.209648,0,1,0,0,1,0,1,1,1,0,1,0,0
