"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen6_0001",0.262109,0.227753,0.083408,1,1,1,1,1,1,1,1,1,1,0,0,0
"gen6_0002",0.269261,0.232974,0.106411,0,1,0,1,1,0,1,1,1,0,1,0,0
"gen6_0003",-0.277389,0.236166,0.106447,0,1,0,1,1,1,1,1,1,0,1,0,0
"gen6_0004",-0.199831,0.203702,0.107141,1,1,1,1,1,1,1,1,1,1,1,0,0
"gen6_0005",0.319366,0.285471,0.009997,1,1,1,1,1,0,1,1,0,0,1,0,0
"gen6_0006",-0.314384,0.149665,0.088867,1,1,1,1,1,1,1,1,0,1,1,1,1
"gen6_0007",0.237575,0.214371,0.114877,1,1,0,1,1,1,1,1,1,1,1,0,0
"gen6_0008",-0.295992,0.138008,0.091654,0,1,0,1,1,0,1,1,0,0,1,1,1
"gen6_0009",-0.147053,0.249556,0.120121,1,1,0,1,1,1,1,1,1,1,1,0,0
"gen6_0010",0.15468,0.221784,0.069859,0,1,0,1,1,0,1,1,1,0,0,1,1
"gen6_0011",-0.056877,0.04347,0.115592,1,1,1,1,1,0,1,1,0,1,1,0,1
"gen6_0012",0.194056,0.23343,0.135138,1,1,1,1,1,0,1,1,0,0,1,1,0
"gen6_0013",0.235767,0.263051,0.077359,1,0,1,1,0,1,1,1,0,0,1,1,0
"gen6_0014",-0.314391,0.240181,0.11358,1,1,1,1,1,1,1,1,0,0,1,1,0
"gen6_0015",-0.29328,0.239652,0.111513,1,1,1,1,1,1,1,1,0,1,0,1,0
"gen6_0016",0.340164,0.295428,0.065328,0,0,1,1,0,1,1,1,0,0,1,1,0
"gen6_0017",-0.333167,0.172,0.035314,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen6_0018",0.338149,0.263136,0.06355,1,1,1,1,1,0,1,1,0,0,1,1,1
"gen6_0019",-0.285081,0.240335,0.089053,0,1,0,1,1,1,1,1,1,0,1,0,0
"gen6_0020",0.243459,0.258882,0.094753,1,0,1,1,0,1,1,1,0,0,1,1,0
"gen6_0021",0.213951,0.26951,0.072532,1,0,1,1,0,1,1,1,0,0,1,1,0
"gen6_0022",-0.188171,0.175583,0.081663,0,1,1,1,1,1,1,1,0,1,1,1,1
"gen6_0023",0.268378,0.226127,0.115156,1,1,0,1,1,0,1,1,1,0,1,0,0
"gen6_0024",0.238458,0.221218,0.106132,0,1,0,1,1,1,1,1,1,1,1,0,0
"gen6_0025",-0.315897,0.141919,0.091034,1,1,1,1,1,1,1,1,0,0,1,1,1
"gen6_0026",-0.294479,0.145754,0.089487,0,1,0,1,1,0,1,1,0,1,1,1,1
"gen6_0027",0.260534,0.233434,0.123465,1,1,1,1,1,0,1,1,1,0,1,1,0
"gen6_0028",0.202783,0.23297,0.118084,0,1,0,1,1,0,1,1,0,0,1,0,0
"gen6_0029",-0.221843,0.24247,0.119284,1,1,1,1,1,1,1,1,1,1,1,0,0
"gen6_0030",-0.239601,0.247267,0.114417,1,1,0,1,1,1,1,1,0,0,1,1,0
"gen6_0031",0.325825,0.288824,0.068584,1,0,1,1,0,1,1,1,0,0,1,1,0
"gen6_0032",0.333705,0.292075,0.006741,0,1,1,1,1,0,1,1,0,0,1,0,0
"gen6_0033",0.28698,0.262683,0.06458,0,0,1,1,0,1,1,1,0,0,1,1,0
"gen6_0034",0.288951,0.295796,0.078107,1,0,1,1,0,1,1,1,0,0,1,1,0
"gen6_0035",0.133415,0.27907,0.082755,1,0,1,1,1,1,1,1,0,1,1,1,0
"gen6_0036",0.045475,0.027451,0.110196,1,1,1,1,0,0,1,1,0,0,1,0,1
"gen6_0037",-0.299875,0.240062,0.112104,1,1,1,1,1,1,1,1,0,0,0,1,0
"gen6_0038",-0.307796,0.239771,0.112989,1,1,1,1,1,1,1,1,0,1,1,1,0
"gen6_0039",0.240735,0.225218,0.071676,0,1,1,1,1,1,1,1,1,0,1,0,0
"gen6_0040",-0.100402,0.273912,0.100793,1,0,1,1,0,1,1,1,0,1,1,1,0
"gen6_0041",0.142367,0.241113,0.068486,0,1,0,1,0,1,1,1,1,0,0,1,1
"gen6_0042",0.352477,0.276099,0.066701,0,0,1,1,1,0,1,1,0,0,1,1,0
"gen6_0043",-0.173866,0.207262,0.106661,1,1,0,1,1,1,1,1,1,1,1,0,0
"gen6_0044",0.21161,0.210811,0.115357,1,1,1,1,1,1,1,1,1,1,1,0,0
"gen6_0045",0.206534,0.251355,0.074808,1,0,1,1,0,1,1,1,1,0,1,1,0
"gen6_0046",-0.170598,0.215398,0.109692,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen6_0047",-0.148519,0.143288,0.121945,1,1,0,1,1,1,1,1,0,1,1,0,1
"gen6_0048",-0.312918,0.255933,0.087043,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen6_0049",0.236705,0.233155,0.137949,0,1,1,1,1,0,1,1,0,0,1,0,0
"gen6_0050",0.226612,0.233249,0.1036,1,1,0,1,1,0,1,1,1,0,1,1,0
"gen6_0051",0.267463,0.19376,0.088936,1,1,1,1,1,1,1,1,0,0,1,1,1
"gen6_0052",-0.241683,0.251333,0.065259,0,0,1,1,0,1,1,1,0,1,1,1,0
"gen6_0053",0.197238,0.286866,0.101756,1,1,1,1,1,0,1,1,0,0,1,1,0
"gen6_0054",0.336982,0.241992,0.09871,0,0,1,1,0,1,1,1,0,0,1,1,0
"gen6_0055",0.029813,0.234132,0.106545,0,1,0,1,1,1,1,1,1,0,1,0,0
"gen6_0056",-0.069627,0.216405,0.114779,1,1,0,1,1,1,1,1,1,1,1,0,0
"gen6_0057",0.045037,0.232438,0.111526,1,1,1,1,1,0,1,1,1,0,1,1,0
"gen6_0058",-0.069056,0.240188,0.106398,0,1,0,1,1,1,1,1,0,1,0,0,0
"gen6_0059",-0.140417,0.23649,0.106556,0,1,0,1,1,1,1,1,1,0,1,0,0
"gen6_0060",0.262625,0.24604,0.119976,1,1,0,1,1,0,1,1,1,1,1,0,0
"gen6_0061",0.258001,0.272663,0.057831,1,1,0,1,1,0,1,1,1,1,1,0,0
"gen6_0062",-0.085688,0.262364,0.072287,1,1,1,1,1,1,1,1,0,0,1,0,0
"gen6_0063",-0.136083,0.262826,0.116904,1,1,1,1,1,0,1,1,1,1,1,0,1
"gen6_0064",-0.067847,0.0302,0.118809,1,1,0,1,1,1,1,1,0,1,1,0,0
