"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen26_0001",-0.044414,0.115703,0.018534,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0532751083606994,0.102642927182307,0.0583514509635963,12
"gen26_0013",-0.043081,0.083101,0.067471,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0533006060934559,0.0646725014450129,0.0580178735119421,11
"gen26_0032",-0.044403,0.116055,0.026516,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0533149854958006,0.103810347965688,0.0583586939694407,12
"gen26_0041",-0.043364,0.11592,0.018657,1,1,0,1,1,1,1,1,1,1,1,1,0,0.05335075021441,0.0925945232795429,0.058391712403926,11
"gen26_0052",-0.04248,0.112897,0.053931,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0533858230035847,0.0894453710783228,0.0584991601314646,11
"gen26_0003",-0.045503,0.115792,0.056411,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534168966937125,0.0940827296869526,0.0585043763196369,11
"gen26_0022",-0.0177,0.116735,0.056483,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534178005050602,0.0951593374735873,0.0584659959667832,11
"gen26_0004",-0.008516,0.115901,0.059922,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534200071047237,0.0936172010534412,0.058451744374862,11
"gen26_0005",-0.043217,0.116181,0.059159,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534227636396842,0.0934542305454748,0.0584674446288509,11
"gen26_0020",-0.042069,0.113564,0.062965,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534229197848026,0.0887487166060034,0.058396816239449,11
"gen26_0060",-0.046033,0.11422,0.041443,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534231279571352,0.0897388190483584,0.0585883528477139,11
"gen26_0007",-0.047257,0.114871,0.045274,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534333597959714,0.0902347733051355,0.0586449588131762,11
"gen26_0045",-0.043425,0.11227,0.06558,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534370416436476,0.0885993492504856,0.0583538809308338,11
"gen26_0043",-0.043977,0.115682,0.033168,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534408915116485,0.0939122178112164,0.058496506348622,11
"gen26_0033",-0.042522,0.115766,0.044035,1,1,0,1,1,1,1,1,1,1,1,1,0,0.053442793609724,0.0922587406844808,0.0586350866142506,11
"gen26_0050",-0.043029,0.115927,0.036688,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534464043438867,0.0924611138025714,0.0585238116147411,11
"gen26_0057",-0.042667,0.115895,0.061775,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534475122403495,0.0926884489025569,0.0584387595132765,11
"gen26_0025",-0.0228,0.117311,0.037686,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534491824571755,0.0973008053075783,0.0585896599053628,11
"gen26_0056",-0.045683,0.115894,0.062007,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534505393073601,0.0888806435931528,0.0584370081673455,11
"gen26_0024",-0.044941,0.115837,0.062686,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534529336561724,0.092205647179132,0.0584321733044957,11
"gen26_0008",-0.042198,0.11783,0.030171,1,1,0,1,1,1,1,1,1,1,1,1,0,0.053454444764694,0.0970734037587088,0.0585277308159453,11
