"Gen","Time","MinutesAll","MinutesThis","NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-01 12:45:46",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-01 13:00:27",14.68634506464,14.68634506464,"gen0_010",0.486207,0.081777,0.224979,1,1,0,0,1,0,1,1,0,1,1,1,1,0.0585595655572362,0.0534262052458571,0.0619135389130614,9
1,"2014-12-01 13:12:24",26.6451133171717,11.9617799838384,"gen1_0038",0.196689,0.223399,0.185888,1,0,1,1,1,0,1,1,0,0,1,1,0,0.057214899262617,0.0839259259329144,0.0624866654872044,8
2,"2014-12-01 13:28:45",42.9855761726697,16.3522428393364,"gen2_0003",-0.258813,0.382709,0.066714,0,1,1,1,1,0,1,0,1,0,0,0,0,0.0572924538151003,0.0741780625738711,0.0621588537123474,6
3,"2014-12-01 13:46:02",60.2792571266492,17.2959237933159,"gen3_0042",-0.027912,0.027211,0.140468,0,1,1,1,1,0,1,1,1,1,1,0,1,0.0558101833959648,0.0182789770689939,0.0583422657053793,10
4,"2014-12-01 14:06:40",80.9110421339671,20.6443754673004,"gen4_0056",-0.303144,0.132787,0.068651,1,1,1,1,1,1,1,1,0,1,0,0,1,0.0548031195830915,0.0540740335726443,0.0585529599322653,10
5,"2014-12-01 14:29:09",103.392313067118,22.4923130671183,"gen5_0022",0.262109,0.227753,0.083408,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0548042694392026,0.184158984666279,0.0589984847087018,10
6,"2014-12-01 14:51:26",125.675323442618,22.2919901092847,"gen6_0039",0.240735,0.225218,0.071676,0,1,1,1,1,1,1,1,1,0,1,0,0,0.0544596593754797,0.129360706172941,0.0586947428420561,9
7,"2014-12-01 15:12:02",146.275066967805,20.6084003011386,"gen7_0029",-0.009795,0.140594,0.111195,0,1,0,1,1,1,1,1,1,1,1,1,0,0.0540536799650294,0.0964889305772674,0.0593281621146701,10
8,"2014-12-01 15:33:03",167.298912465572,21.0322457989057,"gen8_0042",-0.14991,0.208854,0.068784,1,1,1,1,1,0,1,1,1,0,1,0,0,0.0541725285365143,0.0783978777090234,0.0583113333087025,9
9,"2014-12-01 15:53:51",188.097931583722,20.8145982503891,"gen9_0048",-0.166338,0.106106,0.072514,1,1,1,1,1,0,1,1,1,0,1,1,1,0.0541102069499144,0.0663648968968935,0.0577560138072198,11
10,"2014-12-01 16:13:44",207.971586982409,19.8882536490758,"gen10_0047",-0.120363,0.116343,0.074479,0,1,0,1,1,1,1,1,1,1,1,1,0,0.0536679267869363,0.0759183838074516,0.0586586862272336,10
11,"2014-12-01 16:35:44",229.979335121314,22.0126684546471,"gen11_0058",-0.12264,0.139693,0.068246,0,1,0,1,1,1,1,1,1,1,1,1,0,0.0538006083982993,0.0918495335752538,0.0589027714999071,10
12,"2014-12-01 16:57:41",251.918226190408,21.9515595237414,"gen12_0051",-0.172309,0.128747,0.08166,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0538328498630003,0.0958580982312677,0.0586577936130323,12
13,"2014-12-01 17:18:20",272.575168224176,20.6585015575091,"gen13_0021",-0.160535,0.107677,0.082844,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0538780636729406,0.0990655210760643,0.0578911418841393,13
14,"2014-12-01 17:41:51",296.089255666733,23.5225890000661,"gen14_0008",-0.047574,0.119821,0.082871,0,1,0,1,1,1,1,1,1,1,1,1,0,0.0536565619759022,0.0829083187929801,0.0586546696673654,10
15,"2014-12-01 18:03:52",318.114649546146,22.0313162128131,"gen15_0057",-0.047818,0.120902,0.075582,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535650332840121,0.0955624598729004,0.0584245316426007,11
16,"2014-12-01 18:27:58",342.203090441227,24.103090441227,"gen16_0034",-0.043367,0.120594,0.082793,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0536292935939226,0.104044873613818,0.0584422637583864,12
17,"2014-12-01 18:50:33",364.790438799063,22.5904387990634,"gen17_0002",-0.045531,0.120863,0.075053,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535643432309008,0.0963277580888548,0.0584201829113305,11
18,"2014-12-01 19:13:38",387.870602083206,23.0872687498728,"gen18_0050",-0.05238,0.121218,0.076146,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535681361055527,0.0941417807918596,0.0584456003317592,11
19,"2014-12-01 19:34:52",409.112471961975,21.2458052953084,"gen19_0003",-0.044247,0.087502,0.08282,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0533517757326142,0.075434821597699,0.0579464096683032,12
20,"2014-12-01 19:58:52",433.100175082684,24.0001750826836,"gen20_0040",-0.0437,0.121982,1e-06,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0534465880094553,0.109338004342124,0.058770058880414,12
21,"2014-12-01 20:24:22",458.616453842322,25.516453842322,"gen21_0033",-0.044067,0.121903,0.0238,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534288987848899,0.0999904911581087,0.0585657033780536,11
