"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen10_0001",712,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen10_0002",722,10.3,0,1,1,1,1,0,0,1,1,1,0,1,0
"gen10_0003",723,11.1,0,1,1,1,1,1,1,1,1,1,0,1,0
"gen10_0004",854,10.3,0,1,1,0,1,0,0,1,1,1,1,1,0
"gen10_0005",692,10.8,0,0,1,0,1,0,1,1,1,1,1,1,0
"gen10_0006",574,10.6,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen10_0007",692,10.7,1,1,1,1,1,1,1,1,0,0,0,1,0
"gen10_0008",563,10.6,0,1,1,0,1,1,1,1,1,1,0,1,0
"gen10_0009",560,10.9,0,1,0,0,1,0,1,1,1,1,1,1,0
"gen10_0010",757,10,0,0,1,1,1,0,1,1,1,1,0,1,0
"gen10_0011",702,10.9,1,1,1,0,1,0,1,1,1,1,0,1,0
"gen10_0012",621,10.5,0,1,0,0,1,1,1,1,1,1,1,1,0
"gen10_0013",654,11,1,1,0,1,1,1,1,1,1,1,0,0,0
"gen10_0014",602,10.5,0,1,0,0,1,0,1,0,1,1,1,1,0
"gen10_0015",774,-19.2,0,1,1,0,1,0,1,1,1,1,1,1,0
"gen10_0016",587,11,1,1,1,1,1,1,1,1,1,1,0,0,0
"gen10_0017",746,10.5,0,1,1,0,1,0,1,1,1,1,0,1,0
"gen10_0018",820,10.5,0,0,1,1,1,1,1,1,1,1,1,1,0
"gen10_0019",661,10.8,1,1,1,1,1,1,1,1,1,1,0,1,0
"gen10_0020",685,10.9,1,1,0,1,1,1,1,1,1,1,0,1,0
"gen10_0021",832,10.9,1,1,1,1,1,1,1,1,1,1,0,1,0
"gen10_0022",933,10.4,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen10_0023",703,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen10_0024",701,-12.2,1,1,1,1,1,1,1,1,1,1,0,1,0
"gen10_0025",723,11.1,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen10_0026",722,10.3,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen10_0027",705,10.8,1,1,1,1,1,0,1,1,1,1,0,1,0
"gen10_0028",709,10.8,1,1,1,0,1,0,1,1,0,1,0,1,0
"gen10_0029",348,-20.6,0,0,1,1,1,0,1,1,1,1,0,1,0
"gen10_0030",722,10.9,1,1,1,1,1,0,1,1,1,1,0,1,0
"gen10_0031",692,10.7,1,1,1,0,1,1,1,1,1,1,0,1,0
"gen10_0032",692,10.8,0,0,1,1,1,0,1,1,1,1,1,1,0
"gen10_0033",624,10.7,0,1,1,1,1,0,1,1,1,1,1,1,0
"gen10_0034",724,10.7,0,1,1,0,1,0,1,1,1,1,0,1,0
"gen10_0035",606,10.8,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen10_0036",350,10.8,0,1,1,0,1,0,1,1,1,1,0,1,0
"gen10_0037",825,10.7,0,0,1,1,1,0,1,1,1,1,1,1,0
"gen10_0038",731,10.5,1,1,1,0,1,0,1,1,1,1,0,1,0
"gen10_0039",613,10.4,0,0,1,1,1,0,1,1,1,1,1,1,0
"gen10_0040",843,10.4,0,0,0,0,1,0,1,1,1,1,1,1,0
"gen10_0041",667,10.8,1,1,1,1,1,1,1,1,1,1,0,1,0
"gen10_0042",733,10.9,1,0,0,1,1,1,1,1,1,1,0,1,0
"gen10_0043",577,10.5,0,1,1,1,1,1,0,1,0,1,0,1,0
"gen10_0044",599,10.6,0,1,0,0,1,0,1,1,1,1,1,0,0
"gen10_0045",764,10.8,0,1,1,0,1,0,1,1,1,1,0,1,0
"gen10_0046",750,2.6,1,1,1,1,1,0,1,1,1,1,1,1,0
"gen10_0047",680,10.5,0,1,1,1,1,1,1,1,1,1,0,1,0
"gen10_0048",616,10.4,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen10_0049",583,10.5,0,1,1,0,1,1,1,1,1,1,1,1,1
"gen10_0050",601,10.6,0,0,0,0,1,0,1,1,1,1,0,1,0
"gen10_0051",737,10.2,1,1,1,1,1,0,1,1,1,1,0,1,0
"gen10_0052",722,10.7,0,0,1,1,1,0,1,1,1,1,0,1,0
"gen10_0053",702,-11.2,1,1,1,1,1,1,1,1,1,1,0,1,0
"gen10_0054",664,10.9,0,1,0,1,1,0,1,1,1,1,0,0,0
"gen10_0055",571,10.5,0,1,1,0,1,0,1,1,1,1,0,1,0
"gen10_0056",517,10.6,0,1,0,1,1,0,1,1,1,1,1,1,0
"gen10_0057",585,10.6,0,1,1,0,0,0,1,1,1,1,0,1,0
"gen10_0058",732,10.3,0,0,0,1,1,0,1,1,1,1,1,1,0
"gen10_0059",584,10.6,0,1,1,1,1,0,1,1,1,1,1,0,0
"gen10_0060",844,10.3,0,0,1,0,0,0,1,1,1,1,0,1,0
"gen10_0061",597,4.4,0,1,1,0,0,1,1,1,0,1,1,1,0
"gen10_0062",592,11,1,0,1,1,1,0,1,1,1,1,0,1,0
"gen10_0063",688,10.6,0,1,1,0,1,0,1,1,1,1,1,1,0
"gen10_0064",649,10.8,0,1,1,0,1,1,1,1,0,1,1,1,0
