"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen15_0001",640,10.6,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0002",766,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0003",556,10.5,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0004",783,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0005",572,10.5,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0006",711,10.8,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0007",638,10.4,0,1,0,1,1,1,1,1,1,1,0,1,0
"gen15_0008",734,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0009",729,10.7,1,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0010",773,10.5,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0011",756,10.7,0,1,0,1,1,0,1,1,1,1,0,1,0
"gen15_0012",713,10.9,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0013",715,10.9,0,1,1,1,1,1,1,1,1,1,0,1,0
"gen15_0014",694,8.6,0,1,1,0,1,0,1,1,1,1,1,1,0
"gen15_0015",836,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0016",614,10.6,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0017",821,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0018",749,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0019",744,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0020",741,10.7,1,1,0,1,1,0,1,1,1,1,0,1,0
"gen15_0021",687,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0022",664,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0023",596,9.4,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0024",654,9.7,0,1,1,0,1,0,1,1,1,1,1,1,0
"gen15_0025",645,10.8,0,1,0,1,1,0,1,1,1,1,0,1,0
"gen15_0026",704,10.4,0,1,1,1,1,1,1,1,1,1,0,1,0
"gen15_0027",755,10.6,0,1,0,1,1,0,1,1,1,1,0,1,0
"gen15_0028",774,10.6,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0029",601,10.5,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0030",744,10.5,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0031",768,10.5,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0032",570,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0033",674,10.6,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0034",653,10.9,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0035",677,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0036",648,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0037",710,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0038",612,10.5,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0039",734,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0040",773,10.5,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0041",713,10.8,0,1,1,1,1,1,1,1,1,1,0,1,0
"gen15_0042",713,10.9,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0043",733,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0044",757,10.7,0,1,0,1,1,0,1,1,1,1,0,1,0
"gen15_0045",622,10.5,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0046",723,10.5,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0047",785,10.8,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0048",709,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0049",742,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0050",748,10.7,0,1,0,1,1,0,1,1,1,1,0,1,0
"gen15_0051",753,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0052",724,10.8,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0053",667,10.8,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0054",682,10.4,0,1,0,1,1,1,1,1,1,1,0,1,0
"gen15_0055",724,10.6,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0056",697,10.5,0,1,0,1,1,1,1,1,1,1,0,1,0
"gen15_0057",613,10.6,0,1,0,1,1,0,1,1,1,1,0,1,0
"gen15_0058",699,10.6,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0059",711,9.1,0,1,1,0,1,0,1,1,1,1,0,1,0
"gen15_0060",739,10.2,0,1,0,1,1,0,1,1,1,1,1,1,0
"gen15_0061",760,10.5,0,1,0,1,1,0,1,1,1,1,0,1,0
"gen15_0062",769,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0063",727,10.8,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen15_0064",717,10.8,1,1,1,1,1,1,1,1,1,1,0,1,0
