"Gen","Time","MinutesAll","MinutesThis","NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-02 13:34:55",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-02 13:58:21",23.4386124372482,23.4386124372482,"gen0_033",990,9.9,0,1,1,0,1,1,1,0,1,0,0,0,1,0.0566335240843603,0.051885652361587,0.0520014826486771,7
1,"2014-12-02 14:18:25",43.5013404289881,20.0680070956548,"gen1_0020",315,9.1,1,1,0,0,1,0,1,1,1,1,1,1,0,0.0554876410074515,0.0694161008260423,0.053144438835327,9
2,"2014-12-02 14:52:47",77.8679574410121,34.3679574410121,"gen2_0001",315,9.1,1,1,0,0,1,0,1,1,1,1,1,1,0,0.0548951776502364,0.0622957500510049,0.0533053805490585,9
3,"2014-12-02 15:23:51",108.935048894087,31.0683822274208,"gen3_0020",642,11.4,0,1,1,1,1,0,1,1,1,1,0,1,0,0.0541356506679103,0.0900395910159774,0.0555518132267662,9
4,"2014-12-02 15:44:13",129.30043143034,20.3670980970065,"gen4_0035",570,11,0,1,0,1,1,0,1,1,1,1,0,1,0,0.0544560907457694,0.0821610719691474,0.0543471093562241,8
5,"2014-12-02 15:58:33",143.634691242377,14.334691242377,"gen5_0034",726,9.8,0,1,1,1,1,0,1,1,1,1,0,1,0,0.0543106414475866,0.0838611404316026,0.0540843547797667,9
6,"2014-12-02 16:19:23",164.467436766624,20.8341034332911,"gen6_0030",722,11,0,1,1,1,1,0,1,1,1,1,0,1,0,0.0541576651733488,0.0971602839802492,0.05467148758875,9
7,"2014-12-02 16:43:08",188.217168227832,23.7505015611649,"gen7_0036",707,10.3,0,1,1,1,1,0,1,1,1,1,0,1,0,0.0541418096638539,0.0860285756625332,0.0542602644208067,9
8,"2014-12-02 17:06:06",211.196308843295,22.9796421766281,"gen8_0035",624,11,0,1,0,0,1,0,1,1,1,1,1,1,0,0.0541719958479354,0.0902593356765206,0.0549459299000532,8
9,"2014-12-02 17:32:23",237.477178672949,26.2938453396161,"gen9_0063",712,10.7,0,1,1,1,1,0,1,1,1,1,0,1,0,0.0540739109912869,0.0917224536593974,0.0544510987485742,9
10,"2014-12-02 18:02:55",268.000249795119,30.5335831284523,"gen10_0022",933,10.4,0,1,1,1,1,0,1,1,1,1,0,1,0,0.0541719793667537,0.088545594905522,0.0545176424137009,9
11,"2014-12-02 18:35:48",300.885434110959,32.8854341109594,"gen11_0048",737,10.4,0,1,0,1,1,1,1,1,1,1,0,1,0,0.0540616736619465,0.0907655897363295,0.0538534455176654,9
12,"2014-12-02 19:10:42",335.784530154864,34.9011968215307,"gen12_0042",723,10.8,0,1,1,1,1,1,1,1,1,1,0,1,0,0.0539686604498512,0.104457972028089,0.0539707087769675,10
13,"2014-12-02 19:43:29",368.576045648257,32.7927123149236,"gen13_0031",570,10.6,0,1,1,0,1,0,1,1,1,1,1,1,0,0.0540195747639424,0.0883832144103011,0.0552497120806558,9
14,"2014-12-02 20:16:14",401.320092276732,32.7534256100655,"gen14_0064",640,10.6,0,1,1,1,1,0,1,1,1,1,0,1,0,0.0540418270984636,0.084434641058407,0.0542877815347422,9
15,"2014-12-02 20:47:36",432.686999400457,31.3703327337901,"gen15_0038",612,10.5,0,1,1,1,1,1,1,1,1,1,0,1,0,0.0541222518057241,0.101064996296651,0.0535779185396149,10
16,"2014-12-02 21:20:16",465.364500602086,32.6811672687531,"gen16_0008",654,9.7,0,1,1,0,1,0,1,1,1,1,1,1,0,0.054117272183335,0.08143091727761,0.0549569049550193,9
17,"2014-12-02 21:53:42",498.78375950257,33.4337595025698,"gen17_0031",561,10.6,0,1,1,1,1,1,1,1,1,1,0,1,0,0.0538816765481025,0.0911190115372969,0.053492275619894,10
18,"2014-12-02 22:32:10",537.264826925596,38.4814935922623,"gen18_0061",758,10.7,0,1,1,1,1,1,1,1,1,1,0,1,0,0.0538853233566071,0.101009834171182,0.0548358152272807,10
19,"2014-12-02 23:10:59",576.070480191708,38.8204801917076,"gen19_0028",722,10.7,0,1,1,1,1,1,1,1,1,1,0,1,0,0.0539051002273421,0.0974109615292663,0.0536926882548503,10
20,"2014-12-02 23:52:09",617.236779685815,41.1701130191485,"gen20_0061",758,10.7,0,1,1,1,1,1,1,1,1,1,0,1,0,0.0540049584125961,0.104670908367548,0.054334492221118,10
