"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen18_0059",711,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0521603906002006,0.0803544825542244,0.05358383555813,10
"gen18_0061",665,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0522222952096851,0.0804613051288858,0.0531592095934108,10
"gen18_0057",644,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0522325739144139,0.0815647355833354,0.0528273190788936,10
"gen18_0016",678,9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0522517891211144,0.0825404007144665,0.0531316756715696,10
"gen18_0038",577,9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0522662673727242,0.0895475138182032,0.0519935455250309,10
"gen18_0047",696,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0522811404594452,0.0857456539133304,0.0529350117080572,10
"gen18_0023",673,8.7,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0522848900149065,0.0851604048300231,0.0530824049237271,10
"gen18_0037",679,8.8,1,1,0,1,1,0,1,1,1,1,0,0,1,0.0523693415438994,0.0729433933252155,0.0537610850871496,9
"gen18_0035",701,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.052374114869719,0.0851052727407111,0.0533446129667582,10
"gen18_0044",679,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0523987905095217,0.0831234932655487,0.0530911626014495,10
"gen18_0024",675,8.9,0,1,0,1,1,1,1,1,1,1,0,0,1,0.052411393283045,0.077388298459144,0.0533497995426461,9
"gen18_0036",693,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0524153960521924,0.0932603602865904,0.0525720205295435,10
"gen18_0041",707,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0524607991415165,0.0876141124494444,0.0533613523882924,10
"gen18_0033",671,9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0524616202891891,0.0902120892314897,0.0532888187398472,10
"gen18_0031",621,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0524695540742994,0.0808219938400806,0.0532920656368315,10
"gen18_0062",809,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0525006624925287,0.0927488369087834,0.0540766943101413,10
"gen18_0048",776,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0525058398648012,0.0919723846736793,0.0530625607182383,10
"gen18_0032",645,9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0525159264398647,0.0877359701702677,0.0534754874477862,10
"gen18_0015",821,8.8,1,1,0,1,1,0,1,1,1,1,0,0,1,0.0525381973715064,0.0749789644906065,0.0540413828645496,9
"gen18_0002",578,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0525389318012676,0.0809087759968628,0.0529734705160559,10
"gen18_0064",724,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0525473005332662,0.0840737800824124,0.0525670591948349,10
"gen18_0005",695,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0525661380974645,0.089958864723833,0.0527354031439407,10
"gen18_0004",723,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0525698746987974,0.0868600639392502,0.0533664347108635,10
"gen18_0003",675,8.9,1,1,0,1,1,0,1,1,1,1,0,0,1,0.0525989242893162,0.0771083580625729,0.0538023953317859,9
"gen18_0026",751,8.8,1,1,0,1,1,0,1,1,1,1,0,0,1,0.052605109332761,0.076049144737792,0.0547197635714744,9
"gen18_0027",684,8.9,1,1,0,1,1,1,1,1,1,1,0,0,0,0.0526115972954203,0.0662092510017445,0.0546404592196256,9
"gen18_0055",686,8.8,1,1,1,1,1,0,1,1,1,1,0,0,1,0.0526132741527281,0.077092620836134,0.053548665562926,10
"gen18_0009",671,9,1,1,0,0,1,1,1,1,1,1,0,0,1,0.0526288723493175,0.0722541504980755,0.0527569829873404,9
"gen18_0010",688,9,1,1,0,1,1,1,1,1,1,1,0,0,0,0.0527120235098794,0.0659783940789437,0.054182394171247,9
"gen18_0008",607,8.9,1,1,1,1,1,1,1,1,1,1,0,0,1,0.0527353014643039,0.0973472057499653,0.0529263104475552,11
"gen18_0025",726,8.8,1,1,0,1,1,1,1,1,1,0,0,0,1,0.0527663165919894,0.0704493252469764,0.0530867809966917,9
"gen18_0058",686,8.9,1,1,1,1,1,1,1,1,1,1,0,0,1,0.0527767863908928,0.0861513260653005,0.0541621053704099,11
"gen18_0054",602,9,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0528233330410947,0.124478399684906,0.0541584795286106,12
"gen18_0012",724,8.9,1,1,0,0,1,1,1,1,1,1,0,0,1,0.0528782598341141,0.0693146492411433,0.053016491597227,9
"gen18_0039",823,8.8,1,1,0,1,1,1,1,1,1,0,0,0,1,0.0530665731458275,0.0680999761935708,0.0528942154127061,9
"gen18_0040",795,8.8,1,1,0,1,1,0,1,1,1,1,0,0,0,0.0531153295789746,0.0527847300681117,0.0553289397776185,8
"gen18_0043",687,8.9,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0531979295650718,0.112605999616767,0.0539525232784848,11
"gen18_0014",565,8.9,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0532277128209837,0.108856687922936,0.0540317890775604,12
"gen18_0034",673,8.7,1,1,1,0,1,0,1,1,1,1,0,0,1,0.0534197886527222,0.0624376532080915,0.054520286654878,9
"gen18_0007",673,8.7,1,1,0,0,1,1,1,1,1,1,1,0,1,0.0534507438808746,0.0939533597957165,0.0543547486427702,10
"gen18_0060",675,8.9,1,1,1,0,1,0,1,1,1,1,0,0,1,0.0536264906724622,0.0658245857991143,0.0544838180943015,9
"gen18_0042",692,8.8,1,1,0,1,1,0,1,1,1,1,1,0,1,0.0537557988811959,0.0995752517021813,0.0543233090356691,10
"gen18_0056",570,13,1,1,0,1,1,1,1,1,1,1,0,0,1,0.054267434684041,0.140892092069863,0.0579762316418168,10
"gen18_0051",723,8.9,0,1,0,1,0,1,1,1,1,1,0,0,1,0.0549073140295774,0.0658944924906011,0.053959394580321,8
"gen18_0045",713,8.9,1,1,0,1,1,0,1,1,0,1,0,1,0,0.0549581717003955,0.0628531045132082,0.0536827706519628,8
