"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen15_0001",664,8.4,1,1,1,1,0,0,1,1,0,1,1,0,0
"gen15_0002",324,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0003",649,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0004",660,8.3,1,1,1,1,1,1,1,1,1,1,0,0,0
"gen15_0005",665,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0006",715,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0007",614,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0008",690,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0009",678,8.2,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0010",677,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0011",648,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0012",618,8.3,1,1,1,1,1,1,1,1,0,1,1,0,1
"gen15_0013",645,8.2,0,1,1,1,1,1,1,1,0,1,1,0,1
"gen15_0014",694,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0015",660,8.4,1,0,1,1,1,1,0,1,0,1,1,0,0
"gen15_0016",625,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0017",695,8.4,0,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0018",710,8.4,1,1,1,1,1,1,1,1,0,1,0,0,1
"gen15_0019",626,-23.5,0,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0020",664,8.4,1,1,0,1,1,1,1,1,0,1,1,0,0
"gen15_0021",621,8.4,0,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0022",719,11.4,1,1,1,1,0,1,1,1,0,1,1,0,0
"gen15_0023",663,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0024",622,8.4,1,1,1,1,1,1,1,1,1,1,1,0,0
"gen15_0025",650,8.4,0,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0026",654,8.3,1,0,1,1,1,1,1,1,0,1,1,0,0
"gen15_0027",675,8.3,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen15_0028",683,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0029",664,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0030",661,8.3,1,1,1,1,0,1,1,0,0,1,1,0,0
"gen15_0031",631,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0032",672,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0033",227,8.3,1,1,1,1,0,1,1,1,0,1,1,0,0
"gen15_0034",677,8.2,1,1,1,1,1,1,0,1,0,1,1,0,0
"gen15_0035",635,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0036",643,9.7,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0037",681,8.4,1,1,1,1,1,1,1,1,0,1,1,1,0
"gen15_0038",683,8.4,1,1,1,1,1,1,0,1,0,1,1,0,0
"gen15_0039",687,8.3,0,1,1,1,0,1,1,1,0,1,0,0,0
"gen15_0040",676,8.4,1,1,1,1,1,1,1,0,0,1,1,0,0
"gen15_0041",689,8.4,1,1,0,1,1,1,1,1,0,0,1,0,0
"gen15_0042",649,8.3,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0043",646,8.2,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0044",617,8.3,1,1,1,1,1,0,1,1,0,1,1,0,0
"gen15_0045",843,8.3,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0046",541,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0047",677,8.3,1,1,0,1,1,1,1,1,0,1,1,0,0
"gen15_0048",658,8.3,1,1,1,1,1,1,1,1,0,0,1,0,0
"gen15_0049",620,8.3,1,1,1,1,1,1,1,1,0,1,1,0,1
"gen15_0050",676,8.2,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0051",683,8.3,1,0,1,1,1,1,1,0,0,1,0,0,0
"gen15_0052",684,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0053",669,12.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0054",673,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0055",640,0.2,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0056",668,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0057",492,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0058",450,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0059",695,8.3,0,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0060",386,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0061",625,8.3,1,1,1,1,1,1,0,1,0,1,1,0,0
"gen15_0062",649,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0063",683,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0064",621,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
