"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1"
"gen2_0001",8,1,0,0,1,1,0,1,1,0,1,1,1,1
"gen2_0002",3,0,0,1,1,1,0,1,1,1,1,0,0,0
"gen2_0003",9,1,0,0,1,1,0,1,1,0,1,1,1,1
"gen2_0004",8,0,0,1,0,1,1,1,1,0,1,1,1,1
"gen2_0005",17,0,1,0,1,1,0,1,1,0,1,0,0,0
"gen2_0006",12,0,0,0,1,1,0,1,1,1,1,0,1,1
"gen2_0007",10,0,0,1,1,1,0,1,1,0,1,1,1,1
"gen2_0008",13,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen2_0009",20,0,1,1,0,1,1,1,1,1,1,0,0,1
"gen2_0010",14,1,1,1,1,1,1,0,1,1,1,0,0,0
"gen2_0011",13,0,0,1,0,1,0,1,1,1,1,0,1,0
"gen2_0012",15,0,1,1,0,1,0,1,1,1,1,1,0,1
"gen2_0013",15,1,0,1,1,1,1,1,1,0,1,0,1,1
"gen2_0014",15,0,0,1,1,0,0,1,1,1,1,0,1,0
"gen2_0015",16,0,0,1,1,0,0,1,1,0,1,1,0,0
"gen2_0016",17,0,1,1,1,1,0,1,1,1,0,0,1,1
"gen2_0017",12,0,0,0,1,1,0,1,1,1,1,0,1,1
"gen2_0018",15,1,1,1,0,1,0,1,1,1,1,1,0,1
"gen2_0019",13,0,0,1,1,1,0,1,1,0,1,1,0,1
"gen2_0020",16,1,0,1,0,1,0,1,1,0,1,1,1,0
"gen2_0021",15,0,0,1,1,1,0,1,1,0,1,1,1,1
"gen2_0022",11,0,0,1,1,0,0,1,1,0,1,1,0,1
"gen2_0023",12,0,0,0,1,1,0,1,1,0,1,1,1,1
"gen2_0024",15,0,1,1,1,1,0,1,1,0,1,0,1,0
"gen2_0025",13,0,0,1,0,1,0,1,1,1,1,1,0,1
"gen2_0026",15,0,1,1,0,1,1,1,1,1,1,1,0,1
"gen2_0027",6,0,0,1,1,1,0,1,1,0,1,0,0,1
"gen2_0028",12,0,0,1,1,1,1,1,1,0,1,0,0,1
"gen2_0029",25,0,1,1,1,1,0,0,1,0,1,1,1,1
"gen2_0030",11,0,0,0,1,1,0,1,1,0,1,0,1,1
"gen2_0031",15,0,0,1,0,1,1,0,1,1,1,1,1,1
"gen2_0032",8,1,0,1,1,1,0,1,1,0,1,0,1,1
"gen2_0033",16,0,1,0,1,1,0,1,1,1,1,0,1,1
"gen2_0034",18,1,0,0,1,1,0,1,1,1,1,1,0,1
"gen2_0035",16,0,0,1,1,1,0,1,1,0,1,0,1,0
"gen2_0036",29,1,1,0,1,0,0,1,1,0,1,1,1,1
"gen2_0037",11,0,1,0,0,1,0,1,1,1,1,1,0,1
"gen2_0038",13,1,0,1,1,1,0,1,1,1,1,1,1,1
"gen2_0039",14,0,0,1,0,1,1,1,1,1,1,1,0,1
"gen2_0040",14,0,0,1,1,1,0,0,1,1,1,0,1,1
"gen2_0041",10,0,1,1,0,1,1,1,1,0,1,1,1,1
"gen2_0042",13,0,0,1,0,1,0,1,1,1,1,1,0,0
"gen2_0043",6,0,1,1,0,1,0,1,1,1,1,1,0,1
"gen2_0044",10,0,1,1,1,1,1,1,1,0,1,0,0,1
"gen2_0045",16,0,1,1,1,1,0,1,0,0,0,0,1,1
"gen2_0046",2,0,0,1,1,1,0,1,1,0,1,1,1,0
"gen2_0047",15,0,0,1,1,1,1,1,1,0,1,0,1,0
"gen2_0048",15,0,0,1,1,1,0,1,1,1,1,0,1,1
"gen2_0049",14,0,0,1,1,1,0,1,1,1,1,0,1,1
"gen2_0050",13,0,1,1,1,1,0,1,1,0,0,1,1,1
"gen2_0051",10,0,0,1,1,1,0,1,1,1,1,1,1,1
"gen2_0052",8,0,0,1,0,1,1,1,1,0,1,1,1,1
"gen2_0053",18,0,0,1,0,1,0,1,1,1,1,0,1,1
"gen2_0054",10,1,1,0,1,1,1,1,1,0,1,0,0,1
"gen2_0055",16,0,0,1,1,1,1,1,1,0,1,1,0,1
"gen2_0056",7,0,0,1,1,1,0,1,1,0,1,0,1,1
"gen2_0057",13,0,0,1,0,1,1,1,1,0,1,1,1,1
"gen2_0058",8,0,0,1,0,1,1,1,1,1,1,1,1,1
"gen2_0059",9,1,0,1,0,1,0,1,1,1,1,0,1,0
"gen2_0060",16,0,1,1,1,1,1,1,1,1,0,1,1,1
"gen2_0061",12,1,0,0,0,1,0,1,1,1,0,0,1,0
"gen2_0062",9,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen2_0063",17,0,0,1,1,1,1,1,1,1,1,0,1,1
"gen2_0064",15,0,1,1,0,1,0,1,1,0,0,0,1,1
