"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1"
"gen7_0001",8,0,1,0,0,1,0,1,1,0,1,1,0,1
"gen7_0002",7,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0003",9,0,0,0,0,1,0,1,1,0,1,1,1,0
"gen7_0004",9,0,1,1,0,1,0,1,1,1,1,1,0,1
"gen7_0005",9,0,1,0,0,1,0,1,1,1,1,1,0,1
"gen7_0006",10,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0007",10,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0008",10,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0009",10,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0010",9,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0011",9,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0012",9,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0013",9,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0014",9,0,1,0,0,1,0,1,1,0,1,1,0,1
"gen7_0015",9,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0016",9,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0017",7,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0018",9,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0019",8,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0020",8,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0021",9,0,1,0,0,1,0,1,1,0,1,1,0,1
"gen7_0022",8,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0023",9,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0024",9,0,1,0,0,1,0,1,1,0,1,1,0,1
"gen7_0025",9,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0026",9,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0027",9,0,1,0,0,1,0,1,1,1,1,1,0,1
"gen7_0028",8,0,1,0,0,1,0,1,1,0,1,1,0,1
"gen7_0029",10,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0030",9,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0031",8,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0032",9,0,1,0,0,1,0,1,1,0,1,1,0,1
"gen7_0033",9,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0034",9,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0035",9,0,1,1,0,1,0,1,1,0,1,1,1,1
"gen7_0036",9,0,0,0,0,1,0,1,1,0,1,1,0,1
"gen7_0037",10,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0038",9,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0039",9,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0040",9,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0041",9,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0042",9,0,0,0,0,1,0,1,1,0,1,1,1,0
"gen7_0043",9,0,0,0,0,1,0,1,1,0,1,1,1,1
"gen7_0044",9,0,1,0,0,1,0,1,1,0,1,1,0,0
"gen7_0045",9,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0046",9,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0047",9,0,1,1,0,1,0,1,1,1,1,1,1,1
"gen7_0048",9,0,0,0,0,1,0,1,1,0,1,1,0,1
"gen7_0049",8,0,1,1,0,1,0,1,1,0,1,1,0,1
"gen7_0050",9,0,1,0,0,1,0,1,1,1,1,1,0,1
"gen7_0051",9,0,1,1,0,1,0,1,1,0,1,1,1,1
"gen7_0052",7,0,0,0,0,1,0,1,1,0,1,1,1,1
"gen7_0053",9,0,1,0,0,1,0,1,1,0,1,1,0,1
"gen7_0054",9,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen7_0055",8,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0056",8,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0057",9,0,1,0,0,1,0,1,1,0,1,1,0,1
"gen7_0058",9,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0059",9,0,1,0,0,1,0,1,1,0,1,1,0,1
"gen7_0060",9,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen7_0061",9,0,0,0,0,1,0,1,1,0,1,1,1,0
"gen7_0062",9,0,1,0,0,1,0,1,1,1,1,1,0,1
"gen7_0063",9,0,0,0,0,1,0,1,1,0,1,1,1,1
"gen7_0064",9,0,1,1,0,1,0,1,1,0,1,1,0,1
