"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1"
"gen15_0001",9,1,1,1,0,1,1,1,0,1,1,1,0,1
"gen15_0002",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0003",9,1,1,1,0,1,1,1,1,1,1,1,0,1
"gen15_0004",9,1,0,1,0,1,1,1,0,1,1,1,0,1
"gen15_0005",9,1,0,1,0,0,0,0,1,1,1,1,0,1
"gen15_0006",9,1,0,1,0,1,1,1,1,1,1,1,0,0
"gen15_0007",9,1,0,1,0,1,1,1,0,1,1,1,0,1
"gen15_0008",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0009",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0010",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0011",9,1,0,1,0,1,0,1,1,1,1,0,0,1
"gen15_0012",9,0,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0013",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0014",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0015",9,0,0,1,0,1,1,1,1,1,1,1,0,0
"gen15_0016",16,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0017",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0018",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0019",9,1,0,1,0,1,1,1,1,1,1,1,0,0
"gen15_0020",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0021",16,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0022",9,1,1,1,0,1,1,1,1,1,1,1,0,1
"gen15_0023",9,1,0,1,0,1,1,1,1,1,1,1,1,1
"gen15_0024",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0025",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0026",9,1,1,1,0,1,1,1,1,1,1,1,0,1
"gen15_0027",9,1,0,1,0,1,1,1,1,1,1,0,0,1
"gen15_0028",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0029",9,1,0,1,0,1,1,1,1,1,1,0,0,1
"gen15_0030",9,0,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0031",9,1,0,1,0,1,1,1,1,1,1,0,0,1
"gen15_0032",9,1,0,1,1,1,0,1,1,1,1,1,0,1
"gen15_0033",9,1,1,1,0,1,1,1,1,1,1,1,0,1
"gen15_0034",7,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0035",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0036",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0037",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0038",9,1,0,1,0,1,1,1,1,1,0,1,0,1
"gen15_0039",9,1,1,1,0,1,1,1,0,1,1,1,0,1
"gen15_0040",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0041",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0042",9,1,0,0,0,1,1,1,1,1,1,1,0,1
"gen15_0043",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0044",12,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0045",9,1,0,1,0,1,1,1,1,1,1,0,0,1
"gen15_0046",29,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0047",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0048",9,1,0,1,0,1,1,1,0,1,1,1,0,1
"gen15_0049",9,0,0,1,0,0,1,0,1,1,1,1,0,1
"gen15_0050",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0051",9,1,0,1,0,1,0,1,1,1,0,1,0,1
"gen15_0052",9,1,1,1,0,1,1,1,1,1,1,1,0,1
"gen15_0053",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0054",9,1,0,1,0,1,1,1,1,1,1,0,0,1
"gen15_0055",9,1,0,1,0,1,1,1,0,1,1,1,0,1
"gen15_0056",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0057",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0058",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0059",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0060",9,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0061",18,1,0,1,0,1,1,1,1,1,1,1,0,1
"gen15_0062",18,1,0,1,0,1,1,1,0,1,1,1,1,1
"gen15_0063",9,0,0,1,0,1,1,1,0,1,1,1,0,1
"gen15_0064",9,1,0,1,0,1,1,1,1,1,1,1,0,1
