"Gen","Time","MinutesAll","MinutesThis","NAMES","M_par","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-11 11:52:36",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-11 11:54:00",1.41215534210205,1.41215534210205,"gen0_038",4,1,1,0,1,1,0,1,1,1,1,0,0,0,0.0590530563122905,0.0319678408503129,0.0576791987105534,8
1,"2014-12-11 11:55:27",2.86251879135768,1.46251879135768,"gen1_0001",4,1,1,0,1,1,0,1,1,1,1,0,0,0,0.0590530563122905,0.0369026402347863,0.0576791987105534,8
2,"2014-12-11 11:56:58",4.37619231939316,1.52619231939316,"gen2_0052",10,1,0,1,0,1,1,1,1,1,1,1,0,0,0.0581912960857074,0.0306621911868527,0.0590838712563069,9
3,"2014-12-11 11:58:30",5.9137322584788,1.54706559181213,"gen3_0048",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0309607900325166,0.0572985198187231,10
4,"2014-12-11 12:00:02",7.44142652750015,1.54142652750015,"gen4_0001",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0319329739711788,0.0572985198187231,10
5,"2014-12-11 12:01:34",8.98244114319484,1.5491078098615,"gen5_0001",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0396978504032279,0.0572985198187231,10
6,"2014-12-11 12:03:07",10.5205006241798,1.55383395751317,"gen6_0001",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0417934080943171,0.0572985198187231,10
7,"2014-12-11 12:04:41",12.0889657616615,1.57229909499486,"gen7_0002",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0415344221343865,0.0572985198187231,10
8,"2014-12-11 12:06:13",13.6257358551025,1.54240252176921,"gen8_0001",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0337822536855515,0.0572985198187231,10
9,"2014-12-11 12:07:45",15.1628450314204,1.54617836475372,"gen9_0002",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0357131965710129,0.0572985198187231,10
10,"2014-12-11 12:09:17",16.6999585151672,1.54995851516724,"gen10_0003",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0243192971841541,0.0572985198187231,10
11,"2014-12-11 12:10:49",18.220867061615,1.53753372828166,"gen11_0001",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0484642788499596,0.0572985198187231,10
12,"2014-12-11 12:12:21",19.7532715082169,1.53660484155019,"gen12_0046",8,1,0,1,0,1,1,1,1,1,1,1,0,1,0.0577561431582152,0.0352865665059957,0.0572985198187231,10
13,"2014-12-11 12:13:53",21.286575893561,1.53657589356105,"gen13_0001",8,1,0,1,0,1,1,1,1,1,1,1,0,1,0.0577561431582152,0.0316807667726646,0.0572985198187231,10
14,"2014-12-11 12:15:24",22.8151951511701,1.53186181783676,"gen14_0003",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0453105586653468,0.0572985198187231,10
15,"2014-12-11 12:16:56",24.3465311646461,1.54653116464615,"gen15_0002",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0441196775243222,0.0572985198187231,10
16,"2014-12-11 12:18:29",25.8969714999199,1.56363816658656,"gen16_0002",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0338523741056057,0.0572985198187231,10
17,"2014-12-11 12:20:01",27.4289983272553,1.54566499392192,"gen17_0005",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0371287838525893,0.0572985198187231,10
18,"2014-12-11 12:21:33",28.9579049626986,1.54123829603195,"gen18_0001",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0376659031501898,0.0572985198187231,10
19,"2014-12-11 12:23:06",30.5054639538129,1.55546395381292,"gen19_0001",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.027790434121122,0.0572985198187231,10
20,"2014-12-11 12:24:38",32.0345177133878,1.53451771338781,"gen20_0007",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0311458618269151,0.0572985198187231,10
