"NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen18_0001",22,0.284773,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen18_0002",16,0.272984,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0003",22,0.284188,1,1,1,1,1,1,0,1,1,1,0,1,1
"gen18_0004",28,0.285135,1,1,0,0,1,1,1,0,1,1,1,1,1
"gen18_0005",22,0.285625,1,0,0,1,1,1,1,1,1,0,0,1,1
"gen18_0006",22,0.288687,1,1,1,1,1,1,1,1,1,0,0,1,0
"gen18_0007",24,0.28392,1,1,0,1,1,1,1,1,1,0,0,1,1
"gen18_0008",24,0.918422,1,1,0,0,1,1,1,1,1,0,0,1,1
"gen18_0009",16,0.287736,1,1,1,1,1,1,0,1,1,0,1,1,1
"gen18_0010",16,0.287719,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen18_0011",16,0.274997,1,0,1,1,1,1,1,1,1,1,1,1,1
"gen18_0012",16,0.295294,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0013",16,0.280915,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0014",16,0.287789,1,1,1,1,1,0,1,0,1,1,1,1,1
"gen18_0015",16,0.287844,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0016",16,0.29565,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0017",15,0.061982,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen18_0018",23,0.288368,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0019",17,0.290027,1,1,1,1,1,1,1,1,1,0,1,1,1
"gen18_0020",9,0.799238,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen18_0021",17,0.284848,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen18_0022",22,0.287759,1,1,0,1,1,1,1,1,1,0,0,1,1
"gen18_0023",19,0.286082,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0024",25,0.294347,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0025",24,0.285296,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0026",20,0.287558,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen18_0027",15,0.288647,1,1,1,1,1,1,1,1,0,1,1,1,1
"gen18_0028",23,0.291191,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen18_0029",23,0.284171,1,1,0,1,1,1,1,1,1,0,0,1,1
"gen18_0030",23,0.283937,1,1,1,1,1,1,1,1,1,0,0,0,1
"gen18_0031",22,0.735309,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen18_0032",22,0.284765,1,1,1,1,1,1,1,1,1,0,0,1,0
"gen18_0033",20,0.285436,1,1,0,1,1,0,0,1,1,1,0,1,1
"gen18_0034",20,0.287204,1,1,1,1,1,1,1,1,0,0,1,1,0
"gen18_0035",16,0.287791,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0036",16,0.287789,1,1,1,1,1,0,1,1,1,1,1,0,1
"gen18_0037",16,0.293147,1,1,1,1,1,1,1,0,1,1,0,1,1
"gen18_0038",16,0.290347,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0039",21,0.286736,1,1,1,1,1,0,1,1,1,1,0,1,1
"gen18_0040",17,0.285881,1,1,1,1,0,1,1,1,1,0,1,1,1
"gen18_0041",16,0.281056,1,1,1,1,0,1,1,1,1,1,1,1,1
"gen18_0042",16,0.279717,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0043",22,0.285646,1,1,1,1,1,1,0,1,1,0,0,1,1
"gen18_0044",24,0.821814,1,1,0,1,1,1,1,1,1,0,0,1,1
"gen18_0045",9,0.286935,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0046",22,0.359008,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0047",24,0.283773,1,1,0,1,1,1,1,1,1,0,0,1,0
"gen18_0048",16,0.281062,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen18_0049",16,0.526471,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0050",16,0.287722,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen18_0051",21,0.290562,1,1,1,1,0,1,1,1,1,1,0,1,1
"gen18_0052",17,0.289861,1,1,1,1,1,1,1,1,1,0,1,0,1
"gen18_0053",16,0.959492,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen18_0054",24,0.27278,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen18_0055",16,0.286319,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0056",28,0.28666,1,1,1,1,1,1,1,1,0,1,1,1,1
"gen18_0057",26,0.284953,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen18_0058",24,0.284955,1,1,1,0,1,0,1,1,1,1,1,1,1
"gen18_0059",25,0.274064,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen18_0060",19,0.283693,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen18_0061",22,0.284655,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen18_0062",22,0.284306,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen18_0063",16,0.293279,1,1,1,1,1,0,1,1,1,1,1,1,1
"gen18_0064",16,0.274999,1,1,1,1,1,1,1,1,1,1,1,1,1
