"NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen5_0058",8,0.306861,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0526387341662017,0.0431039076076578,0.0605348791303664,9
"gen5_0034",16,0.241171,0,1,1,1,1,1,1,1,0,1,0,1,1,0.0526408293982329,0.0615888944113241,0.0600578026827931,10
"gen5_0002",7,0.282193,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0526781795604405,0.0488021051271913,0.0605958864133446,8
"gen5_0045",11,0.314796,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0526803879184444,0.0378482243093088,0.0606606232077104,8
"gen5_0017",14,0.302687,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0527412079399465,0.0418705807290053,0.0604002515365675,10
"gen5_0037",19,0.273274,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0527685134225349,0.0561012471382528,0.0600634927576301,9
"gen5_0036",13,0.336987,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0527753307298846,0.0442383667185469,0.0604187283951683,10
"gen5_0048",15,0.355339,1,0,1,1,1,1,1,1,0,0,0,1,1,0.0527776472646177,0.0416396347720098,0.060543991518271,9
"gen5_0004",13,0.338471,1,1,1,1,1,1,1,1,0,0,1,1,1,0.0527838794857365,0.0579637545724434,0.0594632892042182,11
"gen5_0053",15,0.345755,0,1,1,1,1,1,1,1,0,1,0,1,1,0.0528025931279273,0.0521599701006477,0.0609232803381415,10
"gen5_0060",9,0.294127,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0528147779485677,0.043017242555155,0.060346005005594,8
"gen5_0020",12,0.24414,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0528187634139819,0.0509881604794674,0.0602897401339174,9
"gen5_0062",13,0.231516,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0528281621967582,0.0467597404978785,0.0607372866195055,8
"gen5_0055",8,0.351491,0,1,1,1,1,1,1,1,1,0,0,1,1,0.0528414899826141,0.052328119578474,0.0608330166831924,10
"gen5_0006",8,0.431665,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0528591547924407,0.0462561558267907,0.060747364119312,10
"gen5_0057",10,0.236225,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0528735521928789,0.0516941022166813,0.0605612360903733,8
"gen5_0024",13,0.321638,0,1,1,1,1,1,1,1,0,1,0,1,1,0.052885351061023,0.0609334802231814,0.0603799925737007,10
"gen5_0018",14,0.28401,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0528905294656677,0.0447794900085213,0.0606097375871543,8
