"NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen8_0001",8,0.270377,0,1,1,1,1,1,1,1,0,0,0,1,0
"gen8_0002",8,0.257319,0,1,1,1,1,1,1,0,0,0,0,1,1
"gen8_0003",11,0.265497,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0004",15,0.22238,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0005",16,0.282212,1,1,1,1,1,1,0,1,0,0,1,1,1
"gen8_0006",16,0.243217,0,1,1,1,1,1,1,1,0,1,0,1,1
"gen8_0007",13,0.328868,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0008",8,0.259781,1,1,1,1,1,1,1,1,0,0,1,1,1
"gen8_0009",10,0.249508,1,0,1,1,1,1,1,1,0,0,0,1,1
"gen8_0010",9,0.410308,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0011",12,0.280952,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0012",13,0.276795,0,0,1,1,1,1,1,1,0,0,0,1,1
"gen8_0013",9,0.780238,1,0,1,1,1,1,1,1,0,0,0,1,1
"gen8_0014",12,0.335727,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0015",14,0.302687,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0016",12,0.297933,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0017",15,0.321449,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0018",9,0.311239,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0019",14,0.234036,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0020",14,0.265139,1,0,1,1,1,0,1,1,0,0,0,1,1
"gen8_0021",10,0.39541,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0022",11,0.29585,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0023",17,0.258583,0,1,1,1,1,1,0,1,0,0,0,1,1
"gen8_0024",7,0.990061,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0025",12,0.954008,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0026",12,0.314068,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0027",29,0.281799,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0028",16,0.281365,1,1,1,1,1,1,1,0,0,0,0,1,1
"gen8_0029",11,0.82384,0,1,1,1,0,1,1,1,1,0,1,0,1
"gen8_0030",12,0.289151,1,1,1,0,0,1,1,1,0,0,0,1,1
"gen8_0031",11,0.26701,0,1,1,1,1,1,1,1,0,1,0,1,1
"gen8_0032",13,0.246584,0,0,1,1,1,1,1,1,0,0,0,1,1
"gen8_0033",10,0.277026,0,0,0,1,1,1,1,1,0,0,1,1,1
"gen8_0034",12,0.261804,0,0,1,1,1,1,1,1,0,0,0,1,1
"gen8_0035",9,0.259984,1,0,1,1,1,1,1,1,0,0,0,1,1
"gen8_0036",8,0.261832,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0037",16,0.264918,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0038",16,0.260511,1,1,1,1,1,1,0,1,0,1,0,1,1
"gen8_0039",9,0.25795,0,0,0,1,1,1,1,0,1,0,0,1,1
"gen8_0040",8,0.261404,1,0,1,1,1,1,1,1,1,0,0,1,0
"gen8_0041",12,0.298524,1,1,1,1,1,0,1,1,0,0,0,1,1
"gen8_0042",10,0.388579,1,0,1,1,1,1,1,1,0,0,0,1,1
"gen8_0043",9,0.301622,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0044",13,0.792467,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0045",10,0.343173,1,1,1,1,1,1,0,1,0,0,0,1,1
"gen8_0046",10,0.249873,0,1,1,1,1,1,1,1,0,0,0,0,1
"gen8_0047",12,0.230472,0,1,1,1,1,1,1,1,0,1,0,1,1
"gen8_0048",11,0.249227,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0049",9,0.259845,1,0,1,1,1,1,1,1,0,0,0,1,1
"gen8_0050",10,0.251698,1,0,1,1,1,1,1,1,0,1,0,1,1
"gen8_0051",15,0.249781,1,1,1,1,1,1,1,1,0,1,0,1,1
"gen8_0052",12,0.253551,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0053",13,0.323383,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0054",14,0.308172,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0055",14,0.268783,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0056",8,0.293685,0,1,0,1,1,1,1,0,0,0,0,1,1
"gen8_0057",9,0.26234,0,1,1,0,1,1,1,1,0,0,0,1,1
"gen8_0058",10,0.262938,1,1,1,1,1,1,1,1,0,0,0,0,1
"gen8_0059",14,0.270398,1,0,1,1,1,1,1,1,0,0,0,1,1
"gen8_0060",10,0.281797,1,1,1,1,1,1,1,1,0,0,0,0,1
"gen8_0061",15,0.253987,0,1,1,1,1,1,1,1,0,0,1,1,1
"gen8_0062",7,0.306019,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0063",14,0.275557,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen8_0064",11,0.292627,1,1,1,0,1,1,1,1,0,0,0,0,0
