"NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen15_0001",22,0.212268,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0002",29,0.208367,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0003",22,0.197428,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0004",17,0.211062,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0005",18,0.210187,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0006",22,0.199025,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0007",17,0.210995,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0008",24,0.223671,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0009",22,0.215097,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0010",23,0.223231,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0011",21,0.233807,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen15_0012",22,0.210889,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0013",17,0.211853,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0014",18,0.206388,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0015",17,0.211833,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0016",22,0.216021,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0017",24,0.206152,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0018",22,0.216544,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0019",22,0.210778,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0020",18,0.21543,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen15_0021",22,0.216612,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0022",22,0.198434,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0023",17,0.215417,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen15_0024",22,0.212437,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0025",20,0.223769,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0026",21,0.210897,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0027",21,0.208732,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0028",19,0.209924,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0029",18,0.210757,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0030",17,0.210492,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0031",22,0.215773,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0032",22,0.215345,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0033",22,0.223288,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0034",23,0.21504,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0035",20,0.211333,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0036",19,0.211389,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen15_0037",22,0.199102,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0038",22,0.197351,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0039",22,0.225193,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen15_0040",21,0.207639,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0041",24,0.223421,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0042",21,0.234057,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen15_0043",17,0.211508,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0044",22,0.211234,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0045",24,0.207888,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0046",23,0.206867,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0047",22,0.218917,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0048",19,0.216607,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0049",22,0.2126,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0050",22,0.213386,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0051",23,0.223357,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0052",24,0.223545,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0053",22,0.213041,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0054",22,0.214324,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen15_0055",23,0.213612,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen15_0056",23,0.220948,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0057",25,0.208751,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0058",26,0.210505,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen15_0059",18,0.207243,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0060",23,0.222376,1,1,1,1,1,1,1,1,0,1,0,0,0
"gen15_0061",17,0.211061,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0062",17,0.210996,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0063",23,0.214504,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen15_0064",18,0.220162,1,1,1,1,1,1,1,1,0,1,1,0,0
