"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen9_0041",0.318227,0.120585,0.021586,0,1,0,1,1,0,1,1,1,0,1,1,1,0.0520394963252598,0.199068226850708,0.0506175472773744,9
"gen9_0025",0.434144,0.083966,0.051667,0,0,1,1,1,1,1,1,1,0,0,1,0,0.0524851770630079,0.12695965797786,0.0501984905314896,8
"gen9_0050",0.448402,0.1212,0.055424,0,0,1,1,1,1,1,1,1,0,0,1,0,0.0525680327733897,0.165556113263538,0.0514459590865371,8
"gen9_0003",0.450348,0.14041,0.02284,0,0,1,1,1,0,1,1,1,0,0,1,0,0.0526541962312608,0.156447029725462,0.0530158101819221,7
"gen9_0029",0.408698,0.131213,0.02397,1,0,1,1,1,0,1,1,1,0,0,1,0,0.0526560021896092,0.157175737118558,0.0531238418206734,8
"gen9_0024",0.186235,0.119942,0.082718,0,0,1,1,1,0,1,1,1,0,0,1,0,0.0526574650445146,0.101334392212869,0.0523712056383893,7
"gen9_0047",0.50916,0.130941,0.037802,0,0,1,1,1,1,1,1,1,0,0,1,0,0.052699484114234,0.183531570678961,0.051902714553133,8
"gen9_0055",0.288674,0.104929,0.054186,0,0,1,1,1,0,1,1,1,0,0,1,0,0.0527063989602798,0.106831912434225,0.0516176494863122,7
"gen9_0018",0.313737,0.132684,0.018894,1,0,1,1,1,0,1,1,1,0,0,1,0,0.0527104549932029,0.144215208898661,0.0525589289279934,8
"gen9_0005",0.254887,0.134386,0.076096,1,0,0,1,1,0,1,1,1,0,0,1,0,0.0527167745907287,0.111859652077178,0.0520506475334025,7
"gen9_0048",0.602649,0.122289,0.037193,0,0,1,1,1,1,1,1,1,0,0,1,0,0.0527338077376152,0.196178500201755,0.0520192151690151,8
"gen9_0021",0.424372,0.140827,0.031931,0,0,1,1,1,1,1,1,1,0,0,1,0,0.0527392962727226,0.187749201593826,0.0519065125065853,8
"gen9_0033",0.276263,0.12432,0.051073,1,0,0,1,1,1,1,1,1,0,0,1,0,0.0528474029763006,0.146367434011095,0.0507984016124466,8
"gen9_0027",0.214471,0.122085,0.025439,1,0,0,1,1,0,1,1,1,0,0,1,0,0.0528804764005458,0.109878947621487,0.051285167275016,7
"gen9_0054",0.19,0.120628,0.093818,1,1,0,1,1,0,1,1,1,0,0,1,0,0.0528901111996483,0.11436883837803,0.051971304191057,8
"gen9_0006",0.65341,0.121781,0.048272,0,0,1,1,1,1,1,1,1,0,0,1,0,0.0529089501850121,0.198369500066813,0.0520289353136198,8
"gen9_0064",0.516397,0.122241,0.047459,1,0,1,1,1,1,1,1,1,0,0,1,0,0.0529319782379018,0.19521510999169,0.0520996868738197,9
