"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen2_0001",-0.102219,0.223498,0.028834,0,0,0,1,0,0,1,1,0,1,0,1,1
"gen2_0002",0.64577,0.198292,0.177638,1,1,0,0,1,0,1,1,1,0,1,0,0
"gen2_0003",-0.397381,0.26765,0.172347,1,1,0,1,0,0,1,1,1,1,1,0,0
"gen2_0004",-0.3597,0.105274,0.291266,0,1,0,1,0,1,1,1,1,1,1,1,1
"gen2_0005",-0.124936,0.269404,0.23525,1,1,1,1,0,0,1,1,1,0,1,1,0
"gen2_0006",0.206631,0.783528,0.028331,0,1,0,1,1,0,1,1,0,1,1,0,1
"gen2_0007",1.075239,0.391825,0.301632,1,1,0,0,1,0,1,1,0,0,1,0,0
"gen2_0008",-0.73652,0.264316,0.252823,0,1,1,1,0,1,1,0,1,1,0,1,0
"gen2_0009",0.056891,0.853745,0.166623,0,0,0,1,1,1,1,1,0,1,1,0,0
"gen2_0010",-0.168364,0.734673,0.302716,0,0,0,0,1,0,1,1,1,0,1,0,0
"gen2_0011",0.154998,0.628389,0.185897,0,1,0,1,0,0,1,0,1,0,1,0,0
"gen2_0012",-0.186689,0.008957,0.493387,1,0,0,1,1,1,1,1,0,1,1,0,0
"gen2_0013",-0.03108,0.564065,0.22734,0,0,0,1,0,1,1,0,1,0,1,1,0
"gen2_0014",-0.122012,0.412052,0.269069,0,1,0,0,1,1,1,0,1,1,0,0,0
"gen2_0015",-0.20313,0.023855,0.537276,0,0,0,1,1,0,1,1,1,1,0,0,0
"gen2_0016",1.161317,0.386574,0.144822,0,1,0,1,0,0,1,0,1,1,1,1,1
"gen2_0017",-0.230064,0.036652,0.527959,0,1,0,1,0,0,1,1,1,1,1,1,1
"gen2_0018",-0.332766,0.092477,0.300583,0,0,0,1,1,1,1,1,1,1,0,0,0
"gen2_0019",-0.382238,0.108595,0.273202,0,1,0,1,0,1,1,1,1,1,1,1,1
"gen2_0020",-0.374843,0.264329,0.190411,1,1,0,1,0,0,1,1,1,1,1,0,0
"gen2_0021",-0.116617,0.022855,0.416534,0,0,0,1,0,0,1,1,0,1,0,0,1
"gen2_0022",-0.172291,0.2096,0.105687,1,0,0,1,1,1,1,1,0,1,1,1,0
"gen2_0023",-0.087394,0.583003,0.279269,1,0,0,1,1,1,1,0,1,1,1,1,0
"gen2_0024",-0.130375,1e-06,0.441458,0,0,0,1,0,1,1,1,0,0,1,0,0
"gen2_0025",-0.094609,0.324443,0.216894,1,1,0,1,0,0,1,0,1,0,1,0,0
"gen2_0026",0.124671,0.57335,0.204253,0,1,1,1,0,0,1,1,1,0,1,1,0
"gen2_0027",1.263502,0.195278,0.146467,0,1,0,1,0,0,1,0,1,1,1,1,1
"gen2_0028",-0.461885,0.29657,0.289621,0,1,0,1,0,1,1,1,1,1,1,1,1
"gen2_0029",-0.134368,0.614143,0.185441,0,0,0,1,1,1,1,1,0,1,1,0,0
"gen2_0030",0.00457,0.248559,0.474569,1,0,0,1,1,1,1,1,0,1,1,0,0
"gen2_0031",0.188114,0.522579,0.288315,0,1,0,0,0,1,1,1,1,0,1,1,0
"gen2_0032",0.856045,0.433311,0.240657,1,0,0,1,1,0,1,0,0,0,1,0,0
"gen2_0033",-0.148839,0.071727,0.089509,0,0,0,1,1,0,1,1,0,1,0,1,0
"gen2_0034",-0.15651,0.175626,0.476601,0,0,0,1,0,0,1,1,1,1,0,0,1
"gen2_0035",0.252511,0.377674,0.235491,1,1,0,0,1,0,1,1,1,1,1,0,0
"gen2_0036",0.425347,0.281801,0.238488,1,1,0,1,0,0,1,1,0,0,1,0,0
"gen2_0037",0.082432,0.307767,0.18527,0,0,0,1,0,1,1,1,0,1,1,0,0
"gen2_0038",-0.385241,0.651252,0.272619,0,1,0,1,1,1,1,1,1,1,1,1,1
"gen2_0039",-0.093037,0.221719,0.250919,0,1,0,1,1,0,1,1,1,1,1,1,1
"gen2_0040",1.067665,0.173812,0.38729,1,0,0,1,0,1,1,0,0,1,1,0,0
"gen2_0041",-0.424773,0.309397,0.197451,0,1,0,0,1,0,1,0,1,1,0,0,0
"gen2_0042",-0.09462,0.370305,0.243965,1,1,0,1,0,1,1,1,1,1,1,0,0
"gen2_0043",0.940774,0.306776,0.218796,1,1,0,0,1,0,1,1,1,0,1,0,0
"gen2_0044",0.780235,0.283341,0.260474,1,1,0,0,1,0,1,1,0,0,1,0,0
"gen2_0045",-0.120227,0.209147,0.295507,0,1,0,1,0,1,1,1,1,1,1,1,1
"gen2_0046",-0.341692,0.119625,0.024593,0,0,0,1,0,0,1,1,0,1,0,1,1
"gen2_0047",-0.160588,0.017038,0.502493,1,1,1,1,1,0,1,1,1,0,1,1,0
"gen2_0048",-0.167478,0.276221,0.270033,0,0,0,1,0,0,1,1,1,1,0,0,0
"gen2_0049",-0.067254,0.518876,0.240973,0,1,0,0,1,0,1,0,0,1,0,0,1
"gen2_0050",0.151873,0.676704,0.056427,0,1,0,1,1,1,1,1,1,1,1,0,0
"gen2_0051",0.10632,0.555426,0.196022,1,1,0,0,1,0,1,1,1,0,1,0,0
"gen2_0052",0.371086,0.377539,0.284332,0,0,0,0,1,0,1,1,1,0,1,0,0
"gen2_0053",0.949801,0.391441,0.218443,0,1,0,0,0,0,1,0,1,1,1,1,1
"gen2_0054",0.089504,0.407185,0.195448,0,1,0,1,1,1,1,0,1,1,0,0,0
"gen2_0055",0.546557,0.307123,0.241152,0,0,0,1,1,1,1,1,0,1,1,0,0
"gen2_0056",0.428071,0.088408,0.397057,1,1,0,1,0,0,1,0,1,1,1,1,1
"gen2_0057",-0.132822,0.01874,0.287472,1,1,0,1,0,1,1,1,1,1,1,1,0
"gen2_0058",-0.178803,0.259621,0.441165,1,0,1,1,1,0,1,1,0,0,1,0,0
"gen2_0059",0.658626,0.650013,0.302076,1,0,0,0,1,0,1,1,1,0,1,0,0
"gen2_0060",0.248249,0.476485,0.302272,0,1,0,0,1,0,1,1,0,0,1,0,0
"gen2_0061",0.695529,0.212533,0.091929,1,0,0,1,1,0,1,1,0,1,0,1,1
"gen2_0062",-0.151978,0.209257,0.114543,0,1,0,0,0,0,1,1,1,0,1,0,0
"gen2_0063",0.068582,0.595421,0.209747,0,1,0,1,0,0,1,0,1,0,1,1,0
