"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen3_0001",-0.148839,0.071727,0.089509,0,0,0,1,1,0,1,1,0,1,0,1,0
"gen3_0002",-0.20313,0.023855,0.137312,0,0,0,1,1,0,1,0,1,1,0,1,1
"gen3_0003",-0.172291,0.149089,0.105687,1,0,0,1,0,1,1,1,0,1,1,1,0
"gen3_0004",0.64577,0.323402,0.056753,1,1,0,0,1,0,1,1,1,0,1,0,0
"gen3_0005",-0.102219,0.223498,0.15393,0,0,0,1,0,0,1,1,0,1,0,1,1
"gen3_0006",-0.397381,0.26765,0.172347,1,1,0,1,0,0,1,1,1,1,1,0,0
"gen3_0007",0.082432,0.307767,0.18527,1,0,0,1,0,0,1,1,0,1,1,0,0
"gen3_0008",-0.151978,0.209257,0.114543,0,0,0,1,0,0,1,1,0,0,1,0,0
"gen3_0009",-0.132822,0.01874,0.287472,1,1,0,1,0,1,1,0,1,1,1,1,0
"gen3_0010",-0.374843,0.264329,0.190411,1,1,0,1,0,0,1,1,1,1,1,0,0
"gen3_0011",-0.332766,0.040826,0.300583,0,0,0,1,1,1,1,1,1,1,1,0,0
"gen3_0012",0.940774,0.306776,0.218796,1,1,0,0,1,0,1,1,0,0,1,0,1
"gen3_0013",-0.167478,0.276221,0.270033,0,0,0,1,0,0,1,1,1,1,0,0,0
"gen3_0014",0.425347,0.281801,0.238488,1,1,0,1,0,0,1,1,1,0,1,0,0
"gen3_0015",-0.093037,0.221719,0.250919,0,1,0,1,1,0,1,1,1,1,1,0,1
"gen3_0016",-0.3597,0.105274,0.022128,1,1,0,1,0,1,1,1,1,1,1,1,1
"gen3_0017",-0.326201,0.077954,0.299933,0,1,1,1,1,1,1,1,1,1,1,0,1
"gen3_0018",-0.236629,0.051175,0.128645,1,0,0,1,0,0,1,1,1,1,0,1,1
"gen3_0019",-0.291214,0.208892,0.291432,0,0,0,1,0,1,1,1,1,1,0,1,1
"gen3_0020",-1.08496,0.172603,0.269867,1,0,0,1,0,0,1,1,1,1,1,0,0
"gen3_0021",-0.2264,0.236434,0.142843,1,1,0,1,0,0,1,1,1,0,1,0,0
"gen3_0022",-0.322959,0.240473,0.144047,0,1,0,0,0,1,1,1,0,1,1,0,0
"gen3_0023",-0.111887,0.104127,0.220126,1,0,0,1,0,1,1,1,1,1,1,1,0
"gen3_0024",-0.165381,0.308914,0.25641,1,1,0,1,0,0,1,1,0,1,1,1,1
"gen3_0025",1.069256,0.201473,0.211201,1,1,0,0,0,0,1,1,0,1,1,1,0
"gen3_0026",-0.131051,0.026524,0.190814,0,1,0,1,0,1,1,1,1,0,1,0,0
"gen3_0027",-0.167716,0.132375,0.235535,0,0,0,1,0,1,1,1,0,1,1,0,0
"gen3_0028",-0.317028,0.117708,0.179591,0,1,0,0,1,0,0,1,1,0,1,0,0
"gen3_0029",-0.151449,0.216924,0.302284,1,1,1,0,0,1,1,1,0,0,1,0,0
"gen3_0030",-0.133351,0.011073,0.099731,0,1,0,1,0,0,1,1,1,1,1,1,0
"gen3_0031",-0.366844,0.172515,0.283078,1,1,0,1,1,0,1,1,1,1,1,0,0
"gen3_0032",-0.340765,0.13264,0.207916,0,0,0,1,0,1,1,1,1,1,0,0,0
"gen3_0033",-0.174842,0.13277,0.162708,0,0,0,1,1,0,1,1,0,1,1,0,1
"gen3_0034",-0.121325,0.112804,0.225523,0,1,0,1,1,0,1,1,1,1,0,1,1
"gen3_0035",-0.016708,0.135013,0.085085,0,0,1,0,1,0,1,1,1,1,1,0,1
"gen3_0036",0.459348,0.087134,0.149424,1,1,0,1,1,0,1,1,1,1,0,0,1
"gen3_0037",-0.903512,0.275362,0.256191,1,1,0,1,0,1,1,1,1,0,1,1,1
"gen3_0038",0.090472,0.136688,0.289851,1,1,0,0,1,0,1,1,1,1,1,0,0
"gen3_0039",0.702423,0.280028,0.275096,0,1,0,1,1,0,1,1,1,1,0,0,0
"gen3_0040",-0.129856,0.302969,0.579112,1,1,0,0,0,0,1,1,1,0,1,0,0
"gen3_0041",-0.121839,0.03703,0.717645,1,1,0,1,1,0,1,1,1,1,1,0,0
"gen3_0042",0.344056,0.268626,0.158047,0,0,0,1,0,0,1,1,0,0,0,0,1
"gen3_0043",-0.292621,0.054603,0.228546,0,0,0,1,0,1,1,1,1,1,1,0,1
"gen3_0044",-0.270209,0.074526,0.200032,1,1,0,1,1,0,1,1,1,1,0,1,1
"gen3_0045",-0.407073,0.158054,0.262854,1,1,0,1,0,1,1,1,1,1,1,0,0
"gen3_0046",0.47272,0.229021,0.2669,0,1,0,1,0,0,1,1,1,0,1,1,1
"gen3_0047",0.16778,0.280572,0.259331,1,0,0,1,0,0,1,1,1,0,0,0,0
"gen3_0048",0.090089,0.27745,0.24919,0,1,0,1,0,0,1,1,1,0,1,0,0
"gen3_0049",-0.365707,0.127453,0.239128,1,1,0,1,0,1,1,1,0,1,1,0,0
"gen3_0050",-0.391374,0.908069,0.224485,1,1,0,1,1,0,1,1,1,1,1,1,1
"gen3_0051",-0.225562,0.266386,0.152251,1,0,0,0,0,0,1,1,0,1,0,0,1
"gen3_0052",-0.2515,0.221441,0.19209,0,1,0,1,0,0,0,1,1,1,1,1,0
"gen3_0053",0.817539,0.225297,0.17182,0,1,0,0,1,0,1,0,1,0,1,0,0
