"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen0_001",-1.127603,0.445868,0.227907,0,1,1,1,0,0,0,0,0,1,0,1,1
"gen0_002",-0.917588,0.284666,0.551563,1,0,1,1,0,0,0,1,0,0,1,1,0
"gen0_003",1.498999,0.867941,0.327309,0,0,0,0,0,1,0,0,1,0,0,1,0
"gen0_004",-1.690819,0.316123,0.10165,1,0,1,0,1,1,1,0,0,1,0,1,0
"gen0_005",-3.966281,0.474792,0.916076,0,1,1,0,1,0,0,1,0,1,0,0,0
"gen0_006",-3.517239,0.9154,0.494345,0,1,1,0,0,1,0,1,1,0,1,1,0
"gen0_007",-3.17709,0.352537,0.403809,0,1,0,0,1,0,1,0,0,1,1,1,1
"gen0_008",-3.414036,0.735073,0.365858,1,1,0,1,0,1,1,0,0,1,1,1,0
"gen0_009",-2.741997,0.568717,0.435431,1,0,1,0,0,0,1,1,1,1,0,1,1
"gen0_010",-0.445562,0.656663,0.653056,1,1,1,0,1,0,1,1,0,0,1,0,0
"gen0_011",-2.613744,0.462607,0.825103,0,1,0,0,0,0,0,1,0,0,1,1,1
"gen0_012",-1.904357,0.414239,0.849902,0,1,0,1,0,0,0,0,1,1,1,1,0
"gen0_013",0.615544,0.961076,0.62614,1,0,1,0,0,0,0,0,1,1,1,1,1
"gen0_014",-0.668588,0.767711,0.202455,0,0,0,1,1,1,0,1,0,1,1,1,1
"gen0_015",-0.295006,0.511867,0.479114,1,1,0,1,0,0,1,1,1,0,1,1,1
"gen0_016",-3.302383,0.790983,0.260294,0,0,0,1,1,1,1,1,1,0,0,0,1
"gen0_017",-3.637542,0.558871,0.993378,1,0,1,1,0,1,1,0,1,0,0,0,1
"gen0_018",-1.965808,0.89408,0.69819,0,0,1,0,0,1,0,0,0,0,0,1,0
"gen0_019",0.426851,0.816797,0.950231,1,0,0,0,0,1,0,0,0,0,0,0,0
"gen0_020",-1.655923,0.247733,0.185853,1,0,0,1,0,1,1,0,1,1,0,0,1
"gen0_021",0.846947,0.174205,0.303227,0,0,0,0,0,1,0,1,1,0,1,1,1
"gen0_022",-0.057628,0.801611,0.773319,1,0,0,1,1,0,0,1,0,1,0,1,0
"gen0_023",0.082275,0.05583,0.269803,1,1,0,1,0,0,0,1,0,1,0,0,1
"gen0_024",-0.992197,0.210119,0.528223,1,0,1,0,0,0,0,0,0,1,0,1,0
"gen0_025",-1.810047,0.762454,0.126803,0,0,1,1,0,0,1,0,1,0,1,0,0
"gen0_026",-3.77496,0.091168,0.377227,0,1,0,1,0,1,0,0,1,1,0,0,0
"gen0_027",-0.863377,0.711167,0.70902,0,1,0,0,0,0,1,1,1,1,0,1,0
"gen0_028",-2.40588,0.103786,0.02531,0,1,0,0,1,0,1,1,0,1,0,0,0
"gen0_029",-2.851118,0.694494,0.674637,1,1,1,1,0,0,1,1,0,0,1,0,0
"gen0_030",-0.744536,0.488869,0.090384,0,1,1,0,1,1,1,0,1,1,1,1,0
"gen0_031",0.356325,0.986994,0.243109,0,0,1,0,1,1,0,1,0,1,0,0,1
"gen0_032",-3.133048,0.196534,0.577178,0,0,1,0,0,1,1,0,1,1,1,0,1
"gen0_033",-1.516423,0.151747,0.598914,1,0,0,1,1,1,0,1,0,0,1,0,0
"gen0_034",1.366359,0.222484,0.758989,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen0_035",1.043513,0.982166,0.739244,1,1,1,1,1,1,0,0,1,0,0,0,0
"gen0_036",-2.503431,0.682615,0.590121,1,1,1,0,1,1,0,0,1,1,0,0,1
"gen0_037",0.155797,0.851873,0.46658,0,0,0,0,0,1,1,1,0,0,1,0,1
"gen0_038",-1.294385,0.638766,0.006607,1,1,0,1,1,0,1,1,1,0,0,1,1
"gen0_039",-3.905601,0.937569,0.346412,1,1,0,0,1,0,1,0,0,0,0,0,0
"gen0_040",0.810469,0.340683,0.876004,1,0,1,1,1,1,1,0,1,1,0,1,0
"gen0_041",1.261593,0.578275,0.041976,1,1,0,1,1,0,0,1,1,1,1,1,1
"gen0_042",0.715679,0.159734,0.15099,0,0,1,1,0,1,0,0,0,0,1,0,1
"gen0_043",-2.363194,0.025809,0.213896,1,0,0,1,1,0,1,0,0,0,1,0,0
