"Gen","Time","MinutesAll","MinutesThis","NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-02 10:45:57",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-02 10:47:36",1.65940289497375,1.65940289497375,"gen0_046",1.088078,0.13349,0.160491,1,1,1,1,0,1,1,1,0,1,1,0,0,0.0642999545802192,0.236533005126228,0.080729441739563,9
1,"2014-12-02 10:49:10",3.22532022794088,1.57532022794088,"gen1_0001",1.088078,0.13349,0.160491,1,1,1,1,0,1,1,1,0,1,1,0,0,0.0642999545802192,0.23306622026667,0.080729441739563,9
2,"2014-12-02 10:50:43",4.77907668352127,1.5624100168546,"gen2_0002",0.104137,0.100761,0.176395,0,0,0,0,1,0,1,1,1,1,1,0,0,0.062704082435607,0.0722152132400053,0.0719976800279799,6
3,"2014-12-02 10:52:29",6.54904184738795,1.78237518072128,"gen3_0034",0.356788,0.276799,0.101272,0,1,1,1,1,1,1,1,0,0,0,0,0,0.061853428073583,0.208400782490623,0.0777517537189653,7
4,"2014-12-02 10:54:22",8.41906701723735,1.88573368390401,"gen4_0036",0.065408,0.210923,0.146519,0,0,1,1,1,0,1,1,0,0,1,0,0,0.0603459383618397,0.113676287120723,0.0774550072234898,6
5,"2014-12-02 10:56:13",10.2697210709254,1.85305440425873,"gen5_0001",0.065408,0.210923,0.146519,0,0,1,1,1,0,1,1,0,0,1,0,0,0.0603459383618397,0.113108719431106,0.0774550072234898,6
6,"2014-12-02 10:58:00",12.0588122884432,1.79214562177658,"gen6_0044",0.064389,0.094792,0.150647,0,0,1,1,1,1,1,1,0,0,1,0,0,0.0595041299391957,0.0679739664832342,0.0741709419031165,7
7,"2014-12-02 10:59:55",13.9739462931951,1.92394629319509,"gen7_0027",0.170222,0.093981,0.053772,0,0,1,0,1,1,1,1,0,0,0,0,0,0.0585222434387939,0.0443383655554745,0.0683883496546405,5
8,"2014-12-02 11:01:49",15.8805111765862,1.91384450991948,"gen8_0053",0.257864,0.088872,0.05575,1,0,1,0,1,1,1,1,0,0,1,0,0,0.0572391383222696,0.0656209706275261,0.0675576683769049,7
9,"2014-12-02 11:03:44",17.7835461258888,1.91687945922216,"gen9_0017",0.097774,0.094912,0.037634,1,0,1,0,1,1,1,1,0,0,1,0,0,0.0574677004409644,0.0598492902949398,0.0673193635348157,7
10,"2014-12-02 11:05:38",19.6871894200643,1.90385608673096,"gen10_0050",0.230769,0.099783,0.054083,1,1,1,0,1,1,1,1,0,0,1,0,0,0.0571484415947077,0.0774039216008052,0.0676259178889462,8
11,"2014-12-02 11:07:44",21.7879822532336,2.10464891990026,"gen11_0061",0.292352,0.096092,0.080785,1,1,0,1,1,1,1,1,0,0,1,0,0,0.0573593848674057,0.104308206280981,0.0706843730618136,8
12,"2014-12-02 11:09:48",23.8644263943036,2.08109306097031,"gen12_0043",0.303123,0.095187,0.060559,1,1,1,0,1,1,1,1,0,0,1,0,0,0.0571479289576252,0.0710361643325323,0.0674267631154122,8
13,"2014-12-02 11:11:57",26.0107260107994,2.16072601079941,"gen13_0019",0.310481,0.096213,0.060613,1,1,1,0,1,1,1,1,0,0,1,0,0,0.0571691734712083,0.0754069272529952,0.0673950526746382,8
14,"2014-12-02 11:13:57",28.0019271413485,2.00192714134852,"gen14_0064",0.295348,0.09313,0.067427,1,1,0,0,1,1,1,1,0,0,1,0,0,0.0570316249330358,0.0693700491113251,0.0674691950573984,7
15,"2014-12-02 11:16:04",30.1208904703458,2.12089047034581,"gen15_0048",0.297185,0.093847,0.065487,1,1,0,0,1,1,1,1,0,0,1,0,0,0.0570286070282967,0.0650485784628655,0.0674573544819628,7
16,"2014-12-02 11:18:12",32.261758852005,2.14509218533834,"gen16_0001",0.297185,0.093847,0.065487,1,1,0,0,1,1,1,1,0,0,1,0,0,0.0570286070282967,0.0696436910167908,0.0674573544819628,7
17,"2014-12-02 11:20:20",34.3932040015856,2.14320400158564,"gen17_0063",0.293736,0.095735,0.027265,1,1,0,0,1,1,1,1,0,0,1,0,0,0.0568016898742823,0.0734956057996929,0.0668461636810013,7
18,"2014-12-02 11:22:25",36.4796348730723,2.09630153973897,"gen18_0051",0.305957,0.090246,0.066787,1,1,0,0,1,1,1,1,0,0,1,0,0,0.0569859789756066,0.0734892710141938,0.0674162019652704,7
19,"2014-12-02 11:24:31",38.5769388755163,2.11027220884959,"gen19_0001",0.305957,0.090246,0.066787,1,1,0,0,1,1,1,1,0,0,1,0,0,0.0569859789756066,0.0679776164277384,0.0674162019652704,7
20,"2014-12-02 11:26:38",40.6946683009466,2.12800163427989,"gen20_0001",0.305957,0.090246,0.066787,1,1,0,0,1,1,1,1,0,0,1,0,0,0.0569859789756066,0.0613490704713475,0.0674162019652704,7
